"locus_tag"	"symbol"	"gene_name"	"old_locus_tag"	"product"	"eggNOG_name"	"eggNOG_description"	"GO_component"	"GO_function"	"GO_process"	"eggNOG_GOs"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"eggNOG_evalue"
"SPY_RS00050"	"tilS"	"tilS"	"SPy_0013"	"tRNA lysidine(34) synthetase TilS"	"tilS"	"Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine"	"-"	"GO:0016879 - ligase activity, forming carbon-nitrogen bonds [Evidence IEA]"	"GO:0006400 - tRNA modification [Evidence IEA]"	"-"	"ko:K04075,ko:K15780"	"ko00230,ko01100,ko01110,map00230,map01100,map01110"	"-"	"R01132,R01229,R02142,R09597"	"RC00063,RC00122,RC02633,RC02634"	"2.03e-310"
"SPY_RS00055"	"hpt"	"hpt"	"-"	"hypoxanthine phosphoribosyltransferase"	"hpt"	"Belongs to the purine pyrimidine phosphoribosyltransferase family"	"-"	"-"	"GO:0006166 - purine ribonucleoside salvage [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"ko:K00760,ko:K15780"	"ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110"	"-"	"R00190,R01132,R01229,R02142,R08237,R08238,R08245"	"RC00063,RC00122"	"7.42e-125"
"SPY_RS00060"	"ftsH"	"ftsH"	"SPy_0015"	"ATP-dependent zinc metalloprotease FtsH"	"ftsH"	"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins"	"-"	"GO:0004222 - metalloendopeptidase activity [Evidence IEA] | GO:0016887 - ATP hydrolysis activity [Evidence IEA]"	"GO:0006508 - proteolysis [Evidence IEA] | GO:0051301 - cell division [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004176,GO:0005575,GO:0005623,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009056,GO:0009057,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019538,GO:0030163,GO:0030428,GO:0032502,GO:0042623,GO:0043170,GO:0043934,GO:0044238,GO:0044464,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575"	"ko:K03798"	"-"	"M00742"	"-"	"-"	"0.0"
"SPY_RS00065"	"yfnA"	"-"	"SPy_0016"	"amino acid permease"	"yfnA"	"amino acid"	"GO:0016020 - membrane [Evidence IEA]"	"GO:0022857 - transmembrane transporter activity [Evidence IEA]"	"GO:0055085 - transmembrane transport [Evidence IEA]"	"-"	"ko:K03294"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS00210"	"p40"	"-"	"SPy_0019"	"CHAP domain-containing protein"	"p40"	"CHAP domain protein"	"-"	"-"	"-"	"-"	"ko:K21471,ko:K22409"	"-"	"-"	"-"	"-"	"3.53e-192"
"SPY_RS00215"	"prs"	"-"	"SPy_0020"	"ribose-phosphate diphosphokinase"	"prs"	"Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)"	"-"	"GO:0004749 - ribose phosphate diphosphokinase activity [Evidence IEA]"	"GO:0009156 - ribonucleoside monophosphate biosynthetic process [Evidence IEA]"	"-"	"ko:K00948"	"ko00030,ko00230,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00230,map01100,map01110,map01120,map01130,map01200,map01230"	"M00005"	"R01049"	"RC00002,RC00078"	"7.0299999999999996e-220"
"SPY_RS00220"	"recO"	"recO"	"SPy_0021"	"DNA repair protein RecO"	"recO"	"Involved in DNA repair and RecF pathway recombination"	"-"	"GO:0003677 - DNA binding [Evidence IEA]"	"GO:0006281 - DNA repair [Evidence IEA] | GO:0006310 - DNA recombination [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0033554,GO:0034641,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360"	"ko:K03584"	"ko03440,map03440"	"-"	"-"	"-"	"6.890000000000001e-181"
"SPY_RS00225"	"plsX"	"plsX"	"SPy_0022"	"phosphate acyltransferase PlsX"	"plsX"	"Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA"	"-"	"GO:0043811 - phosphate:acyl-[acyl carrier protein] acyltransferase activity [Evidence IEA]"	"GO:0008610 - lipid biosynthetic process [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"ko:K03621"	"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110"	"M00089"	"R00851,R09380"	"RC00004,RC00039,RC00041"	"7.989999999999999e-229"
"SPY_RS00230"	"acpP_1"	"-"	"SPy_0023"	"phosphopantetheine-binding protein"	"acpP_1"	"Carrier of the growing fatty acid chain in fatty acid biosynthesis"	"-"	"-"	"-"	"-"	"ko:K02078"	"-"	"-"	"-"	"-"	"1.0399999999999999e-45"
"SPY_RS00235"	"purC"	"-"	"SPy_0024"	"phosphoribosylaminoimidazolesuccinocarboxamide synthase"	"purC"	"Belongs to the SAICAR synthetase family"	"-"	"GO:0004639 - phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [Evidence IEA]"	"GO:0006164 - purine nucleotide biosynthetic process [Evidence IEA]"	"-"	"ko:K01923"	"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"	"M00048"	"R04591"	"RC00064,RC00162"	"1.3e-163"
"SPY_RS00240"	"purL"	"-"	"SPy_0025"	"phosphoribosylformylglycinamidine synthase"	"purL"	"Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL"	"-"	"GO:0004642 - phosphoribosylformylglycinamidine synthase activity [Evidence IEA]"	"GO:0006189 - 'de novo' IMP biosynthetic process [Evidence IEA]"	"-"	"ko:K01952"	"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"	"M00048"	"R04463"	"RC00010,RC01160"	"0.0"
"SPY_RS00245"	"purF"	"purF"	"SPy_0026"	"amidophosphoribosyltransferase"	"purF"	"Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine"	"-"	"GO:0004044 - amidophosphoribosyltransferase activity [Evidence IEA]"	"GO:0009152 - purine ribonucleotide biosynthetic process [Evidence IEA]"	"-"	"ko:K00764"	"ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130"	"M00048"	"R01072"	"RC00010,RC02724,RC02752"	"0.0"
"SPY_RS00250"	"purM"	"purM"	"SPy_0027"	"phosphoribosylformylglycinamidine cyclo-ligase"	"purM"	"Phosphoribosylformylglycinamidine cyclo-ligase"	"-"	"GO:0004641 - phosphoribosylformylglycinamidine cyclo-ligase activity [Evidence IEA]"	"GO:0006189 - 'de novo' IMP biosynthetic process [Evidence IEA] | GO:0009152 - purine ribonucleotide biosynthetic process [Evidence IEA]"	"-"	"ko:K01933"	"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"	"M00048"	"R04208"	"RC01100"	"6.93e-237"
"SPY_RS00255"	"purN"	"purN"	"SPy_0028"	"phosphoribosylglycinamide formyltransferase"	"purN"	"Formyl transferase"	"-"	"GO:0004644 - phosphoribosylglycinamide formyltransferase activity [Evidence IEA]"	"GO:0009152 - purine ribonucleotide biosynthetic process [Evidence IEA]"	"-"	"ko:K11175"	"ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130"	"M00048"	"R04325,R04326"	"RC00026,RC00197,RC01128"	"5.19e-127"
"SPY_RS00260"	"purH"	"purH"	"-"	"bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase"	"purH"	"Bifunctional purine biosynthesis protein PurH"	"-"	"GO:0003824 - catalytic activity [Evidence IEA] | GO:0003937 - IMP cyclohydrolase activity [Evidence IEA] | GO:0004643 - phosphoribosylaminoimidazolecarboxamide formyltransferase activity [Evidence IEA]"	"GO:0006164 - purine nucleotide biosynthetic process [Evidence IEA] | GO:0006189 - 'de novo' IMP biosynthetic process [Evidence IEA]"	"-"	"ko:K00602"	"ko00230,ko00670,ko01100,ko01110,ko01130,ko01523,map00230,map00670,map01100,map01110,map01130,map01523"	"M00048"	"R01127,R04560"	"RC00026,RC00263,RC00456"	"0.0"
"SPY_RS00265"	"SPy_0031"	"-"	"SPy_0031"	"SH3 domain-containing protein"	"-"	"CHAP domain"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.8199999999999998e-285"
"SPY_RS00270"	"purD"	"purD"	"SPy_0032"	"phosphoribosylamine--glycine ligase"	"purD"	"Belongs to the GARS family"	"-"	"GO:0004637 - phosphoribosylamine-glycine ligase activity [Evidence IEA]"	"GO:0006189 - 'de novo' IMP biosynthetic process [Evidence IEA] | GO:0009152 - purine ribonucleotide biosynthetic process [Evidence IEA]"	"-"	"ko:K01945"	"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"	"M00048"	"R04144"	"RC00090,RC00166"	"2.7199999999999998e-300"
"SPY_RS00275"	"purE"	"purE"	"SPy_0033"	"5-(carboxyamino)imidazole ribonucleotide mutase"	"purE"	"Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR)"	"GO:0009320 - phosphoribosylaminoimidazole carboxylase complex [Evidence IEA]"	"GO:0004638 - phosphoribosylaminoimidazole carboxylase activity [Evidence IEA]"	"GO:0009152 - purine ribonucleotide biosynthetic process [Evidence IEA]"	"-"	"ko:K01588"	"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"	"M00048"	"R07405"	"RC01947"	"5.79e-107"
"SPY_RS00280"	"purK"	"purK"	"SPy_0034"	"5-(carboxyamino)imidazole ribonucleotide synthase"	"purK"	"Catalyzes the ATP-dependent conversion of 5- aminoimidazole ribonucleotide (AIR) and HCO(3)(-) to N5- carboxyaminoimidazole ribonucleotide (N5-CAIR)"	"-"	"GO:0004638 - phosphoribosylaminoimidazole carboxylase activity [Evidence IEA] | GO:0005524 - ATP binding [Evidence IEA] | GO:0046872 - metal ion binding [Evidence IEA]"	"GO:0006189 - 'de novo' IMP biosynthetic process [Evidence IEA]"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"	"ko:K01589"	"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"	"M00048"	"R07404"	"RC01927"	"1.9899999999999998e-240"
"SPY_RS00285"	"SPy_0035"	"-"	"SPy_0035"	"AIPR family protein"	"-"	"AIPR protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.2899999999999998e-91"
"SPY_RS00290"	"purB"	"purB"	"SPy_0036"	"adenylosuccinate lyase"	"purB"	"Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily"	"-"	"GO:0004018 - N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [Evidence IEA]"	"GO:0009152 - purine ribonucleotide biosynthetic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004018,GO:0006139,GO:0006163,GO:0006164,GO:0006167,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016829,GO:0016840,GO:0016842,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044208,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046033,GO:0046390,GO:0046483,GO:0055086,GO:0070626,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"ko:K01756"	"ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130"	"M00048,M00049"	"R01083,R04559"	"RC00379,RC00444,RC00445"	"1.0000000000000001e-307"
"SPY_RS00295"	"rgg4"	"rgg4"	"SPy_0037"	"transcriptional regulator Rgg4/ComR"	"-"	"Helix-turn-helix XRE-family like proteins"	"-"	"-"	"-"	"-"	"ko:K20342"	"ko02024,map02024"	"-"	"-"	"-"	"6.74e-214"
"SPY_RS00300"	"ruvB"	"ruvB"	"SPy_0038"	"Holliday junction branch migration DNA helicase RuvB"	"ruvB"	"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing"	"-"	"GO:0003677 - DNA binding [Evidence IEA] | GO:0005524 - ATP binding [Evidence IEA] | GO:0009378 - four-way junction helicase activity [Evidence IEA]"	"GO:0006281 - DNA repair [Evidence IEA] | GO:0006310 - DNA recombination [Evidence IEA]"	"-"	"ko:K03551"	"ko03440,map03440"	"-"	"-"	"-"	"1.2400000000000001e-235"
"SPY_RS00305"	"ptpA"	"-"	"SPy_0039"	"low molecular weight phosphotyrosine protein phosphatase"	"ptpA"	"Belongs to the low molecular weight phosphotyrosine protein phosphatase family"	"-"	"-"	"-"	"-"	"ko:K01104"	"-"	"-"	"-"	"-"	"4.0999999999999995e-105"
"SPY_RS00310"	"SPy_0040"	"-"	"SPy_0040"	"membrane protein"	"-"	"protein conserved in bacteria"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"1.08e-51"
"SPY_RS00315"	"SPy_0041"	"-"	"SPy_0041"	"acyltransferase family protein"	"XK27_09800"	"Acyltransferase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS00320"	"adhE"	"adhE"	"-"	"bifunctional acetaldehyde-CoA/alcohol dehydrogenase"	"adhE"	"belongs to the iron- containing alcohol dehydrogenase family"	"-"	"GO:0004022 - alcohol dehydrogenase (NAD+) activity [Evidence IEA] | GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [Evidence IEA] | GO:0046872 - metal ion binding [Evidence IEA]"	"GO:0006066 - alcohol metabolic process [Evidence IEA] | GO:0015976 - carbon utilization [Evidence IEA]"	"-"	"ko:K04072"	"ko00010,ko00071,ko00350,ko00620,ko00625,ko00626,ko00650,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00620,map00625,map00626,map00650,map01100,map01110,map01120,map01130,map01220"	"-"	"R00228,R00623,R00754,R01172,R04880,R05233,R05234,R06917,R06927"	"RC00004,RC00050,RC00088,RC00099,RC00116,RC00184,RC00649,RC01195"	"0.0"
"SPY_RS00325"	"adhP"	"adhP"	"SPy_0044"	"alcohol dehydrogenase AdhP"	"adhP"	"alcohol dehydrogenase"	"-"	"-"	"-"	"-"	"ko:K00001,ko:K13953"	"ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220"	"-"	"R00623,R00754,R02124,R04805,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310"	"RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01734,RC02273"	"1.8499999999999998e-240"
"SPY_RS00330"	"norN"	"-"	"SPy_0045"	"MATE family efflux transporter"	"norN"	"Mate efflux family protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.3499999999999995e-287"
"SPY_RS00335"	"rpsJ"	"rpsJ"	"SPy_0047"	"30S ribosomal protein S10"	"rpsJ"	"Involved in the binding of tRNA to the ribosomes"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003723 - RNA binding [Evidence IEA] | GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02946"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"6.1e-64"
"SPY_RS00340"	"rplC"	"rplC"	"SPy_0049"	"50S ribosomal protein L3"	"rplC"	"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit"	"GO:0005840 - ribosome [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0008150,GO:0009893,GO:0010468,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0044087,GO:0044089,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0090069,GO:0090070,GO:2000232,GO:2000234"	"ko:K02906"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"2.14e-140"
"SPY_RS00345"	"rplD"	"rplD"	"SPy_0050"	"50S ribosomal protein L4"	"rplD"	"Forms part of the polypeptide exit tunnel"	"GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02926"	"ko03010,map03010"	"M00178"	"-"	"-"	"3.53e-134"
"SPY_RS00350"	"rplW"	"-"	"SPy_0051"	"50S ribosomal protein L23"	"rplW"	"One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome"	"-"	"-"	"-"	"GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02892"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"8.52e-60"
