Uniprot	InterPro	Domain	Database.ID	Start	End
P0A3A4	IPR020591	Chromosomal replication control, initiator DnaA-like	PR00051	410	429
P0A3A4	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SSF52540	111	325
P0A4G4	IPR006127	Periplasmic solute binding protein, ZnuA-like	PF01297	36	306
P0A4G4	IPR006128	Adhesion lipoprotein	PR00690	33	51
P0A4G4	IPR006128	Adhesion lipoprotein	PR00690	64	77
P0A4G4	IPR006128	Adhesion lipoprotein	PR00690	77	94
P0A4G4	IPR006128	Adhesion lipoprotein	PR00690	195	216
P0A4G4	IPR006128	Adhesion lipoprotein	PR00690	248	266
P0A4G4	IPR006128	Adhesion lipoprotein	PR00690	274	293
P0A4G4	IPR006129	Adhesin B	PR00691	33	54
P0A4G4	IPR006129	Adhesin B	PR00691	58	76
P0A4G4	IPR006129	Adhesin B	PR00691	77	96
P0A4G4	IPR006129	Adhesin B	PR00691	137	156
P0A4G4	IPR006129	Adhesin B	PR00691	195	212
P0A4G4	IPR006129	Adhesin B	PR00691	221	239
P0A4G4	IPR006129	Adhesin B	PR00691	244	261
P0A4G4	IPR006129	Adhesin B	PR00691	266	284
P0A4G4	IPR006129	Adhesin B	PR00691	287	305
P0C095	IPR003593	AAA+ ATPase domain	SM00382	71	242
P0C095	IPR013765	DNA recombination and repair protein RecA	MF_00268	19	347
P0C095	IPR013765	DNA recombination and repair protein RecA	PF00154	21	286
P0C095	IPR013765	DNA recombination and repair protein RecA	PR00142	107	136
P0C095	IPR013765	DNA recombination and repair protein RecA	PR00142	141	170
P0C095	IPR013765	DNA recombination and repair protein RecA	PR00142	179	208
P0C095	IPR013765	DNA recombination and repair protein RecA	PR00142	224	252
P0C095	IPR013765	DNA recombination and repair protein RecA	PR00142	261	290
P0C095	IPR013765	DNA recombination and repair protein RecA	PR00142	315	332
P0C095	IPR013765	DNA recombination and repair protein RecA	PTHR45900	16	360
P0C095	IPR013765	DNA recombination and repair protein RecA	TIGR02012	18	341
P0C095	IPR013765	DNA recombination and repair protein RecA	cd00983	18	345
P0C095	IPR020584	DNA recombination/repair protein RecA, conserved site	PS00321	227	235
P0C095	IPR020587	DNA recombination and repair protein RecA, monomer-monomer interface	PS50163	213	290
P0C095	IPR020588	DNA recombination and repair protein RecA-like, ATP-binding domain	PS50162	49	208
P0C095	IPR023400	DNA recombination and repair protein RecA, C-terminal	G3DSA:3.30.250.10	286	363
P0C095	IPR023400	DNA recombination and repair protein RecA, C-terminal	SSF54752	286	343
P0C095	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SSF52540	18	285
P0C0B4	IPR003876	Arginine deiminase	MF_00242	4	411
P0C0B4	IPR003876	Arginine deiminase	PIRSF006356	1	411
P0C0B4	IPR003876	Arginine deiminase	PR01466	5	25
P0C0B4	IPR003876	Arginine deiminase	PR01466	157	175
P0C0B4	IPR003876	Arginine deiminase	PR01466	185	200
P0C0B4	IPR003876	Arginine deiminase	PR01466	347	364
P0C0B4	IPR003876	Arginine deiminase	PR01466	367	381
P0C0B4	IPR003876	Arginine deiminase	PR01466	390	408
P0C0B4	IPR003876	Arginine deiminase	TIGR01078	7	411
P0C0B6	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	PF00684	147	211
P0C0B6	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	PS51188	134	216
P0C0B6	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	cd10719	147	211
P0C0B6	IPR001623	DnaJ domain	PF00226	5	66
P0C0B6	IPR001623	DnaJ domain	PR00625	7	25
P0C0B6	IPR001623	DnaJ domain	PR00625	25	40
P0C0B6	IPR001623	DnaJ domain	PR00625	41	61
P0C0B6	IPR001623	DnaJ domain	PR00625	61	80
P0C0B6	IPR001623	DnaJ domain	PS50076	5	69
P0C0B6	IPR001623	DnaJ domain	SM00271	4	61
P0C0B6	IPR001623	DnaJ domain	cd06257	5	58
P0C0B6	IPR002939	Chaperone DnaJ, C-terminal	PF01556	120	337
P0C0B6	IPR008971	HSP40/DnaJ peptide-binding	SSF49493	114	266
P0C0B6	IPR008971	HSP40/DnaJ peptide-binding	SSF49493	263	348
P0C0B6	IPR012724	Chaperone DnaJ	MF_01152	2	374
P0C0B6	IPR012724	Chaperone DnaJ	TIGR02349	5	354
P0C0B6	IPR018253	DnaJ domain, conserved site	PS00636	46	65
P0C0B6	IPR036410	Heat shock protein DnaJ, cysteine-rich domain superfamily	SSF57938	134	214
P0C0B6	IPR036869	Chaperone J-domain superfamily	G3DSA:1.10.287.110	2	113
P0C0B6	IPR036869	Chaperone J-domain superfamily	SSF46565	1	104
P0C0B8	IPR003141	Polymerase/histidinol phosphatase, N-terminal	SM00481	341	408
P0C0B8	IPR004013	PHP domain	PF02811	342	701
P0C0B8	IPR006054	DNA polymerase III epsilon subunit, exonuclease domain	TIGR00573	422	642
P0C0B8	IPR006308	DNA polymerase III, alpha subunit, Gram-positive type	MF_00356	1	1465
P0C0B8	IPR006308	DNA polymerase III, alpha subunit, Gram-positive type	TIGR01405	236	1461
P0C0B8	IPR011708	Bacterial DNA polymerase III, alpha subunit, NTPase domain	PF07733	842	1023
P0C0B8	IPR011708	Bacterial DNA polymerase III, alpha subunit, NTPase domain	PF07733	1039	1110
P0C0B8	IPR012337	Ribonuclease H-like superfamily	SSF53098	426	892
P0C0B8	IPR012340	Nucleic acid-binding, OB-fold	SSF50249	239	329
P0C0B8	IPR013520	Exonuclease, RNase T/DNA polymerase III	PF00929	428	582
P0C0B8	IPR013520	Exonuclease, RNase T/DNA polymerase III	SM00479	426	592
P0C0B8	IPR016195	Polymerase/histidinol phosphatase-like	SSF89550	352	413
P0C0B8	IPR024754	DNA polymerase III PolC-like, N-terminal domain II	PF11490	92	206
P0C0B8	IPR028112	DNA polymerase III PolC-type, N-terminal domain I	PF14480	4	78
P0C0B8	IPR029460	DNA polymerase, helix-hairpin-helix motif	PF14579	1378	1454
P0C0B8	IPR036397	Ribonuclease H superfamily	G3DSA:3.30.420.10	417	563
P0C0B8	IPR040982	DNA polymerase III alpha subunit finger domain	PF17657	1114	1270
P0C0B9	IPR004044	K Homology domain, type 2	PF07650	204	282
P0C0B9	IPR004044	K Homology domain, type 2	PS50823	201	279
P0C0B9	IPR005225	Small GTP-binding protein domain	TIGR00231	5	164
P0C0B9	IPR005662	GTP-binding protein Era	MF_00367	2	293
P0C0B9	IPR005662	GTP-binding protein Era	TIGR00436	5	276
P0C0B9	IPR006073	GTP binding domain	PF01926	7	121
P0C0B9	IPR009019	K homology domain superfamily, prokaryotic type	SSF54814	177	294
P0C0B9	IPR015946	K homology domain-like, alpha/beta	G3DSA:3.30.300.20	182	295
P0C0B9	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SSF52540	7	201
P0C0B9	IPR030388	Era-type guanine nucleotide-binding (G) domain	PS51713	3	170
P0C0B9	IPR030388	Era-type guanine nucleotide-binding (G) domain	cd04163	2	168
P0C0C2	IPR001474	GTP cyclohydrolase I	MF_00223	10	192
P0C0C2	IPR001474	GTP cyclohydrolase I	PTHR11109	8	193
P0C0C2	IPR001474	GTP cyclohydrolase I	TIGR00063	16	192
P0C0C2	IPR018234	GTP cyclohydrolase I, conserved site	PS00859	70	86
P0C0C2	IPR018234	GTP cyclohydrolase I, conserved site	PS00860	119	129
P0C0C2	IPR020602	GTP cyclohydrolase I domain	PF01227	15	191
P0C0C2	IPR043133	GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase	G3DSA:3.30.1130.10	60	194
P0C0C2	IPR043134	GTP cyclohydrolase I, N-terminal domain	G3DSA:1.10.286.10	2	59
P0C0C3	IPR000397	Heat shock protein Hsp33	MF_00117	1	289
P0C0C3	IPR000397	Heat shock protein Hsp33	PF01430	2	278
P0C0C3	IPR000397	Heat shock protein Hsp33	PIRSF005261	1	290
P0C0C3	IPR000397	Heat shock protein Hsp33	PTHR30111	2	288
P0C0C3	IPR000397	Heat shock protein Hsp33	cd00498	4	278
P0C0C3	IPR016153	Heat shock protein Hsp33, N-terminal	G3DSA:3.55.30.10	1	232
P0C0C3	IPR016153	Heat shock protein Hsp33, N-terminal	SSF64397	1	239
P0C0C3	IPR016154	Heat shock protein Hsp33, C-terminal	G3DSA:3.90.1280.10	233	290
P0C0C3	IPR016154	Heat shock protein Hsp33, C-terminal	SSF118352	230	287
P0C0C6	IPR012725	Chaperone DnaK	MF_00332	1	608
P0C0C6	IPR012725	Chaperone DnaK	TIGR02350	3	573
P0C0C6	IPR013126	Heat shock protein 70 family	PF00012	4	74
P0C0C6	IPR013126	Heat shock protein 70 family	PF00012	76	574
P0C0C6	IPR013126	Heat shock protein 70 family	PTHR19375	3	72
P0C0C6	IPR013126	Heat shock protein 70 family	PTHR19375	78	586
P0C0C6	IPR018181	Heat shock protein 70, conserved site	PS00297	7	14
P0C0C6	IPR018181	Heat shock protein 70, conserved site	PS00329	166	179
P0C0C6	IPR018181	Heat shock protein 70, conserved site	PS01036	307	321
P0C0C6	IPR029047	Heat shock protein 70kD, peptide-binding domain superfamily	G3DSA:2.60.34.10	347	476
P0C0C6	IPR029047	Heat shock protein 70kD, peptide-binding domain superfamily	SSF100920	354	510
P0C0C6	IPR029048	Heat shock protein 70kD, C-terminal domain superfamily	G3DSA:1.20.1270.10	477	577
P0C0C6	IPR029048	Heat shock protein 70kD, C-terminal domain superfamily	SSF100934	477	576
P0C0C6	IPR043129	ATPase, nucleotide binding domain	SSF53067	1	157
P0C0C6	IPR043129	ATPase, nucleotide binding domain	SSF53067	160	351
P0C0C8	IPR003815	S-ribosylhomocysteinase (LuxS)	MF_00091	4	158
P0C0C8	IPR003815	S-ribosylhomocysteinase (LuxS)	PF02664	7	151
P0C0C8	IPR003815	S-ribosylhomocysteinase (LuxS)	PIRSF006160	4	160
P0C0C8	IPR003815	S-ribosylhomocysteinase (LuxS)	PR01487	8	26
P0C0C8	IPR003815	S-ribosylhomocysteinase (LuxS)	PR01487	31	49
P0C0C8	IPR003815	S-ribosylhomocysteinase (LuxS)	PR01487	52	70
P0C0C8	IPR003815	S-ribosylhomocysteinase (LuxS)	PR01487	76	94
P0C0C8	IPR003815	S-ribosylhomocysteinase (LuxS)	PR01487	120	139
P0C0C8	IPR003815	S-ribosylhomocysteinase (LuxS)	PTHR35799	5	156
P0C0C8	IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	SSF63411	7	158
P0C0C8	IPR037005	S-ribosylhomocysteinase (LuxS) superfamily	G3DSA:3.30.1360.80	12	160
P0C0D0	IPR002292	Ornithine/putrescine carbamoyltransferase	PR00102	51	65
P0C0D0	IPR002292	Ornithine/putrescine carbamoyltransferase	PR00102	84	97
P0C0D0	IPR002292	Ornithine/putrescine carbamoyltransferase	PR00102	124	138
P0C0D0	IPR002292	Ornithine/putrescine carbamoyltransferase	PR00102	228	238
P0C0D0	IPR002292	Ornithine/putrescine carbamoyltransferase	PR00102	308	319
P0C0D0	IPR002292	Ornithine/putrescine carbamoyltransferase	TIGR00658	8	329
P0C0D0	IPR006130	Aspartate/ornithine carbamoyltransferase	PR00100	53	72
P0C0D0	IPR006130	Aspartate/ornithine carbamoyltransferase	PR00100	135	146
P0C0D0	IPR006130	Aspartate/ornithine carbamoyltransferase	PR00100	265	274
P0C0D0	IPR006130	Aspartate/ornithine carbamoyltransferase	PR00100	294	317
P0C0D0	IPR006130	Aspartate/ornithine carbamoyltransferase	PS00097	53	60
P0C0D0	IPR006131	Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain	PF00185	154	327
P0C0D0	IPR006132	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding	PF02729	8	148
P0C0D0	IPR024904	Ornithine carbamoyltransferase	MF_01109	7	330
P0C0D0	IPR036901	Aspartate/ornithine carbamoyltransferase superfamily	G3DSA:3.40.50.1370	6	326
P0C0D0	IPR036901	Aspartate/ornithine carbamoyltransferase superfamily	G3DSA:3.40.50.1370	151	316
P0C0D0	IPR036901	Aspartate/ornithine carbamoyltransferase superfamily	SSF53671	5	331
P0C0D1	IPR001238	DNA-binding, RecF	MF_00365	1	368
P0C0D1	IPR001238	DNA-binding, RecF	PTHR32182:SF0	1	361
P0C0D1	IPR001238	DNA-binding, RecF	TIGR00611	1	360
P0C0D1	IPR003395	RecF/RecN/SMC, N-terminal	PF02463	3	360
P0C0D1	IPR018078	DNA-binding, RecF, conserved site	PS00617	116	136
P0C0D1	IPR018078	DNA-binding, RecF, conserved site	PS00618	305	323
P0C0D1	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SSF52540	1	361
P0C0D1	IPR042174	DNA-binding RecF, domain 2	G3DSA:1.20.1050.90	119	304
P0C0D4	IPR001063	Ribosomal protein L22/L17	PF00237	9	112
P0C0D4	IPR001063	Ribosomal protein L22/L17	cd00336	7	111
P0C0D4	IPR005727	Ribosomal protein L22, bacterial/chloroplast-type	MF_01331_B	5	114
P0C0D4	IPR005727	Ribosomal protein L22, bacterial/chloroplast-type	PTHR13501	5	113
P0C0D4	IPR005727	Ribosomal protein L22, bacterial/chloroplast-type	TIGR01044	9	111
P0C0D4	IPR018260	Ribosomal protein L22/L17, conserved site	PS00464	87	111
P0C0D4	IPR036394	Ribosomal protein L22/L17 superfamily	G3DSA:3.90.470.10	2	114
P0C0D4	IPR036394	Ribosomal protein L22/L17 superfamily	SSF54843	6	114
P0C0D6	IPR002136	Ribosomal protein L4/L1e	PF00573	17	204
P0C0D6	IPR013005	50S ribosomal protein uL4	MF_01328_B	9	207
P0C0D6	IPR013005	50S ribosomal protein uL4	PTHR10746	5	206
P0C0D6	IPR013005	50S ribosomal protein uL4	TIGR03953	17	204
P0C0D6	IPR023574	Ribosomal protein L4 domain superfamily	G3DSA:3.40.1370.10	1	207
P0C0D6	IPR023574	Ribosomal protein L4 domain superfamily	SSF52166	1	206
P0C0D8	IPR004101	Mur ligase, C-terminal	PF02875	310	381
P0C0D8	IPR005762	UDP-N-acetylmuramoylalanine-D-glutamate ligase MurD	MF_00639	10	443
P0C0D8	IPR005762	UDP-N-acetylmuramoylalanine-D-glutamate ligase MurD	TIGR01087	11	444
P0C0D8	IPR013221	Mur ligase, central	PF08245	117	290
P0C0D8	IPR036565	Mur-like, catalytic domain superfamily	G3DSA:3.40.1190.10	102	307
P0C0D8	IPR036565	Mur-like, catalytic domain superfamily	SSF53623	103	307
P0C0D8	IPR036615	Mur ligase, C-terminal domain superfamily	G3DSA:3.90.190.20	314	447
P0C0D8	IPR036615	Mur ligase, C-terminal domain superfamily	SSF53244	309	445
P0C0E0	IPR000722	RNA polymerase, alpha subunit	PF00623	334	383
P0C0E0	IPR000722	RNA polymerase, alpha subunit	PF00623	388	475
P0C0E0	IPR006592	RNA polymerase, N-terminal	SM00663	225	504
P0C0E0	IPR007066	RNA polymerase Rpb1, domain 3	PF04983	479	664
P0C0E0	IPR007080	RNA polymerase Rpb1, domain 1	PF04997	5	332
P0C0E0	IPR007081	RNA polymerase Rpb1, domain 5	PF04998	771	1132
P0C0E0	IPR007083	RNA polymerase Rpb1, domain 4	PF05000	704	760
P0C0E0	IPR012754	DNA-directed RNA polymerase, subunit beta-prime	MF_01322	4	1194
P0C0E0	IPR012754	DNA-directed RNA polymerase, subunit beta-prime	TIGR02386	10	1184
P0C0E0	IPR038120	RNA polymerase Rpb1, funnel domain superfamily	G3DSA:1.10.132.30	661	795
P0C0E0	IPR042102	RNA polymerase Rpb1, domain 3 superfamily	G3DSA:1.10.274.100	480	660
P0C0E1	IPR001179	FKBP-type peptidyl-prolyl cis-trans isomerase domain	PF00254	159	231
P0C0E1	IPR001179	FKBP-type peptidyl-prolyl cis-trans isomerase domain	PS50059	163	248
P0C0E1	IPR005215	Trigger factor	MF_00303	1	427
P0C0E1	IPR005215	Trigger factor	PIRSF003095	1	427
P0C0E1	IPR005215	Trigger factor	PTHR30560	4	411
P0C0E1	IPR005215	Trigger factor	TIGR00115	13	420
P0C0E1	IPR008880	Trigger factor, C-terminal	PF05698	264	421
P0C0E1	IPR008881	Trigger factor, ribosome-binding, bacterial	PF05697	1	145
P0C0E1	IPR027304	Trigger factor/SurA domain superfamily	SSF109998	250	426
P0C0E1	IPR036611	Trigger factor ribosome-binding domain superfamily	G3DSA:3.30.70.1050	1	129
P0C0E1	IPR036611	Trigger factor ribosome-binding domain superfamily	SSF102735	1	128
P0C0E1	IPR037041	Trigger factor, C-terminal domain superfamily	G3DSA:1.10.3120.10	248	427
P0C0E3	IPR003439	ABC transporter-like	PF00005	17	154
P0C0E3	IPR003439	ABC transporter-like	PS50893	2	225
P0C0E3	IPR003593	AAA+ ATPase domain	SM00382	26	202
P0C0E3	IPR017871	ABC transporter, conserved site	PS00211	126	140
P0C0E3	IPR022501	Gallidermin ABC transporter, ATP-binding subunit	TIGR03740	2	223
P0C0E3	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SSF52540	2	210
P0C0E8	IPR003439	ABC transporter-like	PF00005	23	169
P0C0E8	IPR003439	ABC transporter-like	PS50893	5	240
P0C0E8	IPR003593	AAA+ ATPase domain	SM00382	32	217
P0C0E8	IPR015856	ABC transporter, CbiO/EcfA subunit	PS51246	4	222
P0C0E8	IPR017871	ABC transporter, conserved site	PS00211	141	155
P0C0E8	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SSF52540	4	232
P0C0E8	IPR030947	Energy-coupling factor transporter ATP-binding protein EcfA1	TIGR04520	5	273
P0C0F1	IPR002059	Cold-shock protein, DNA-binding	PF00313	3	65
P0C0F1	IPR002059	Cold-shock protein, DNA-binding	PR00050	4	19
P0C0F1	IPR002059	Cold-shock protein, DNA-binding	PR00050	24	33
P0C0F1	IPR002059	Cold-shock protein, DNA-binding	PR00050	39	57
P0C0F1	IPR002059	Cold-shock protein, DNA-binding	PS51857	1	65
P0C0F1	IPR002059	Cold-shock protein, DNA-binding	cd04458	3	65
P0C0F1	IPR011129	Cold shock domain	SM00357	3	66
P0C0F1	IPR012156	Cold shock, CspA	PIRSF002599	1	67
P0C0F1	IPR012340	Nucleic acid-binding, OB-fold	SSF50249	1	65
P0C0F1	IPR019844	Cold-shock (CSD) domain	PS00352	15	33
P0C0F3	IPR003141	Polymerase/histidinol phosphatase, N-terminal	SM00481	3	70
P0C0F3	IPR004013	PHP domain	PF02811	7	99
P0C0F3	IPR004365	OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	PF01336	899	965
P0C0F3	IPR004805	DNA polymerase III, alpha subunit	PTHR32294	2	109
P0C0F3	IPR004805	DNA polymerase III, alpha subunit	PTHR32294	151	1025
P0C0F3	IPR004805	DNA polymerase III, alpha subunit	TIGR00594	157	927
P0C0F3	IPR011708	Bacterial DNA polymerase III, alpha subunit, NTPase domain	PF07733	243	495
P0C0F3	IPR016195	Polymerase/histidinol phosphatase-like	SSF89550	9	81
P0C0F3	IPR029460	DNA polymerase, helix-hairpin-helix motif	PF14579	730	812
P0C0F3	IPR040982	DNA polymerase III alpha subunit finger domain	PF17657	498	659
P0C0F3	IPR041931	Bacterial DNA polymerase III alpha subunit, thumb domain	G3DSA:1.10.10.1600	374	448
P0C0F5	IPR001732	UDP-glucose/GDP-mannose dehydrogenase, N-terminal	PF03721	1	167
P0C0F5	IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily	SSF48179	199	294
P0C0F5	IPR014026	UDP-glucose/GDP-mannose dehydrogenase, dimerisation	PF00984	199	288
P0C0F5	IPR014027	UDP-glucose/GDP-mannose dehydrogenase, C-terminal	PF03720	314	390
P0C0F5	IPR014027	UDP-glucose/GDP-mannose dehydrogenase, C-terminal	SM00984	313	401
P0C0F5	IPR017476	UDP-glucose/GDP-mannose dehydrogenase	PIRSF000124	1	402
P0C0F5	IPR017476	UDP-glucose/GDP-mannose dehydrogenase	TIGR03026	1	392
P0C0F5	IPR028357	UDP-glucose 6-dehydrogenase, bacterial type	PIRSF500134	1	401
P0C0F5	IPR036220	UDP-glucose/GDP-mannose dehydrogenase, C-terminal domain superfamily	SSF52413	310	402
P0C0F5	IPR036291	NAD(P)-binding domain superfamily	SSF51735	1	201
P0C0G1	IPR000489	Pterin-binding domain	PF00809	15	250
P0C0G1	IPR000489	Pterin-binding domain	PS00792	14	29
P0C0G1	IPR000489	Pterin-binding domain	PS00793	48	61
P0C0G1	IPR000489	Pterin-binding domain	PS50972	12	260
P0C0G1	IPR006390	Dihydropteroate synthase	TIGR01496	14	264
P0C0G1	IPR006390	Dihydropteroate synthase	cd00739	12	262
P0C0G1	IPR011005	Dihydropteroate synthase-like	G3DSA:3.20.20.20	2	266
P0C0G1	IPR011005	Dihydropteroate synthase-like	SSF51717	7	265
P0C0G3	IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	PF01288	5	133
P0C0G3	IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	PS00794	88	99
P0C0G3	IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	TIGR01498	4	133
P0C0G3	IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	cd00483	4	131
P0C0G3	IPR035907	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase HPPK superfamily	G3DSA:3.30.70.560	1	159
P0C0G3	IPR035907	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase HPPK superfamily	SSF55083	1	158
P0C0G5	IPR006156	Dihydroneopterin aldolase	TIGR00525	2	117
P0C0G5	IPR006157	Dihydroneopterin aldolase/epimerase domain	PF02152	4	116
P0C0G5	IPR006157	Dihydroneopterin aldolase/epimerase domain	SM00905	4	117
P0C0G5	IPR006157	Dihydroneopterin aldolase/epimerase domain	TIGR00526	1	119
P0C0G5	IPR006157	Dihydroneopterin aldolase/epimerase domain	cd00534	1	118
P0C0G5	IPR043133	GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase	G3DSA:3.30.1130.10	1	119
P0C0G7	IPR006424	Glyceraldehyde-3-phosphate dehydrogenase, type I	TIGR01534	4	326
P0C0G7	IPR020828	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	PF00044	3	102
P0C0G7	IPR020828	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	SM00846	3	152
P0C0G7	IPR020829	Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain	PF02800	157	314
P0C0G7	IPR020830	Glyceraldehyde 3-phosphate dehydrogenase, active site	PS00071	150	157
P0C0G7	IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family	PIRSF000149	1	336
P0C0G7	IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family	PR00078	110	123
P0C0G7	IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family	PR00078	146	164
P0C0G7	IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family	PR00078	173	189
P0C0G7	IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family	PR00078	231	248
P0C0G7	IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family	PR00078	267	282
P0C0G7	IPR036291	NAD(P)-binding domain superfamily	SSF51735	3	168
P0C0G9	IPR010651	Sugar transport protein	PF06800	6	285
P0C0G9	IPR010651	Sugar transport protein	PTHR16119	4	287
P0C0H1	IPR001173	Glycosyltransferase 2-like	PF00535	68	237
P0C0H1	IPR029044	Nucleotide-diphospho-sugar transferases	G3DSA:3.90.550.10	65	264
P0C0H1	IPR029044	Nucleotide-diphospho-sugar transferases	SSF53448	63	333
P0C0H3	IPR000119	Histone-like DNA-binding protein	PF00216	3	91
P0C0H3	IPR000119	Histone-like DNA-binding protein	PR01727	41	56
P0C0H3	IPR000119	Histone-like DNA-binding protein	PR01727	59	72
P0C0H3	IPR000119	Histone-like DNA-binding protein	PR01727	75	89
P0C0H3	IPR000119	Histone-like DNA-binding protein	PTHR33175	3	91
P0C0H3	IPR000119	Histone-like DNA-binding protein	SM00411	2	91
P0C0H3	IPR010992	Integration host factor (IHF)-like DNA-binding domain superfamily	G3DSA:4.10.520.10	1	91
P0C0H3	IPR010992	Integration host factor (IHF)-like DNA-binding domain superfamily	SSF47729	3	91
P0C0H3	IPR020816	Histone-like DNA-binding protein, conserved site	PS00045	47	66
P0C0H5	IPR000182	GNAT domain	PF13673	10	111
P0C0H5	IPR000182	GNAT domain	PS51186	1	120
P0C0H5	IPR016181	Acyl-CoA N-acyltransferase	SSF55729	5	111
P0C0H5	IPR039143	Glucosamine 6-phosphate N-acetyltransferase	PTHR13355	3	112
P0C0H7	IPR000644	CBS domain	PF00571	100	146
P0C0H7	IPR000644	CBS domain	PF00571	161	206
P0C0H7	IPR000644	CBS domain	PS51371	97	155
P0C0H7	IPR000644	CBS domain	PS51371	159	219
P0C0H7	IPR000644	CBS domain	SM00116	100	150
P0C0H7	IPR000644	CBS domain	SM00116	163	211
P0C0H7	IPR001093	IMP dehydrogenase/GMP reductase	PF00478	12	479
P0C0H7	IPR001093	IMP dehydrogenase/GMP reductase	cd00381	12	468
