UniProt	GOBP name	GOMF name	GOCC name	GOBP slim name	GOCC slim name	KEGG name	Pfam	GSEA	Keywords	Corum	GOBP	GOMF	GOCC	GOBP slim	GOCC slim	ENSG	ENSP	ENST	Isoform ID	Flybase	Gene name	Interpro	Interpro name	KEGG	MGI	MIM	PDB	Pfam	PRINTS	PRINTS name	Prosite	Prosite name	Protein name	Reactome	SGD	SMART	SMART name	Taxonomy	UniProt names	WormBase	EC	eggNOG
P0C0F3;Q48YG4;Q9FDF6	nucleobase-containing compound metabolic process;DNA metabolic process;DNA replication;nitrogen compound metabolic process;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;cellular nitrogen compound metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;nucleic acid metabolic process	nucleic acid binding;DNA binding;catalytic activity;DNA-directed DNA polymerase activity;nuclease activity;exonuclease activity;binding;3'-5' exonuclease activity;transferase activity;transferase activity, transferring phosphorus-containing groups;nucleotidyltransferase activity;hydrolase activity;hydrolase activity, acting on ester bonds;DNA polymerase activity	cytoplasm;intracellular part;cell part	nucleobase-containing compound metabolic process;DNA metabolic process;DNA replication;nitrogen compound metabolic process;metabolic process;biosynthetic process;cellular process;cellular nitrogen compound metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process	cytoplasm;cell part	Purine metabolism;Pyrimidine metabolism;DNA replication;Mismatch repair;Homologous recombination	DNA_pol3_alpha;HHH_6;PHP;tRNA_anti-codon		Completeproteome;Cytoplasm;DNA-directedDNApolymerase;DNAreplication;Nucleotidyltransferase;Referenceproteome;Transferase		GO:0006139;GO:0006259;GO:0006260;GO:0006807;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0034641;GO:0034645;GO:0043170;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0090304	GO:0003676;GO:0003677;GO:0003824;GO:0003887;GO:0004518;GO:0004527;GO:0005488;GO:0008408;GO:0016740;GO:0016772;GO:0016779;GO:0016787;GO:0016788;GO:0034061	GO:0005737;GO:0044424;GO:0044464	GO:0006139;GO:0006259;GO:0006260;GO:0006807;GO:0008152;GO:0009058;GO:0009987;GO:0034641;GO:0043170;GO:0044237;GO:0044238	GO:0005737;GO:0044464	SPy_1284;M5005_Spy0990	AAK34132;AAZ51608	AAK34132;AAZ51608			dnaE	IPR011708;IPR029460;IPR012340;IPR004365;IPR004013;IPR003141;IPR016195;IPR004805	DNA_pol3_alpha;DNAPol_HHH;NA-bd_OB-fold;NA-bd_OB_tRNA;PHP_C;Pol/His_phosphatase_N;Pol/histidinol_Pase-like;PolC_alpha	ko00230;ko00240;ko03030;ko03430;ko03440				PF07733;PF14579;PF02811;PF01336					DNA polymerase III subunit alpha			SM00481	POLIIIAc	Streptococcus pyogenes serotype M1	DPO3A_STRP1		2.7.7.7	COG0587
Q99Y13;Q48WM0	carbohydrate metabolic process;disaccharide metabolic process;lactose metabolic process;lactose catabolic process;monosaccharide metabolic process;galactose metabolic process;alcohol metabolic process;metabolic process;catabolic process;oligosaccharide metabolic process;oligosaccharide catabolic process;cellular process;carbohydrate catabolic process;hexose metabolic process;hexose catabolic process;galactose catabolic process;lactose catabolic process via tagatose-6-phosphate;cellular metabolic process;primary metabolic process;cellular carbohydrate metabolic process;cellular carbohydrate catabolic process;small molecule metabolic process;small molecule catabolic process;alcohol catabolic process;disaccharide catabolic process;monosaccharide catabolic process	catalytic activity;isomerase activity;intramolecular oxidoreductase activity;intramolecular oxidoreductase activity, interconverting aldoses and ketoses;galactose-6-phosphate isomerase activity		carbohydrate metabolic process;alcohol metabolic process;metabolic process;catabolic process;oligosaccharide metabolic process;cellular process;cellular metabolic process;primary metabolic process;small molecule metabolic process		Galactose metabolism	LacAB_rpiB		Completeproteome;Isomerase;Lactosemetabolism;Referenceproteome		GO:0005975;GO:0005984;GO:0005988;GO:0005990;GO:0005996;GO:0006012;GO:0006066;GO:0008152;GO:0009056;GO:0009311;GO:0009313;GO:0009987;GO:0016052;GO:0019318;GO:0019320;GO:0019388;GO:0019512;GO:0044237;GO:0044238;GO:0044262;GO:0044275;GO:0044281;GO:0044282;GO:0046164;GO:0046352;GO:0046365	GO:0003824;GO:0016853;GO:0016860;GO:0016861;GO:0050044		GO:0005975;GO:0006066;GO:0008152;GO:0009056;GO:0009311;GO:0009987;GO:0044237;GO:0044238;GO:0044281		SPy_1922;M5005_Spy1637	AAK34625;AAZ52255	AAK34625;AAZ52255			lacB2	IPR004784;IPR003500	LacB;RpiB_LacA_LacB	ko00052				PF02502					Galactose-6-phosphate isomerase subunit LacB 2					Streptococcus pyogenes serotype M1	LACB2_STRP1		5.3.1.26	COG0698
Q9A0M0;Q48ZQ8		catalytic activity;peptidase activity;exopeptidase activity;hydrolase activity;dipeptidase activity;peptidase activity, acting on L-amino acid peptides					Peptidase_C69		Completeproteome;Dipeptidase;Hydrolase;Protease;Referenceproteome			GO:0003824;GO:0008233;GO:0008238;GO:0016787;GO:0016805;GO:0070011				SPy_0713;M5005_Spy0542	AAK33666;AAZ51160	AAK33666;AAZ51160			pepDA	IPR005322	Peptidase_C69					PF03577					Probable dipeptidase A					Streptococcus pyogenes serotype M1	PEPDA_STRP1		3.4.-.-	COG4690
P0C0D6;P60830;Q491Q4;Q9A1X3	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity;binding;rRNA binding	ribosome;ribonucleoprotein complex;macromolecular complex;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part	translation;metabolic process;biosynthetic process;cellular process;protein metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process	ribosome;ribonucleoprotein complex;macromolecular complex;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;cell part	Ribosome	Ribosomal_L4		Completeproteome;Referenceproteome;Ribonucleoprotein;Ribosomalprotein		GO:0006412;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0019538;GO:0034645;GO:0043170;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0044267	GO:0003676;GO:0003723;GO:0003735;GO:0005198;GO:0005488;GO:0019843	GO:0005840;GO:0030529;GO:0032991;GO:0043226;GO:0043228;GO:0043229;GO:0043232;GO:0044424;GO:0044444;GO:0044464	GO:0006412;GO:0008152;GO:0009058;GO:0009987;GO:0019538;GO:0043170;GO:0044237;GO:0044238	GO:0005840;GO:0030529;GO:0032991;GO:0043226;GO:0043229;GO:0043232;GO:0044464	SPy_0050;M5005_Spy0045	AAK33183;AAZ50664	AAK33183;AAZ50664			rplD	IPR002136;IPR023574;IPR013005	Ribosomal_L4/L1e;Ribosomal_L4_dom;Ribosomal_uL4/L1e	ko03010				PF00573					50S ribosomal protein L4					Streptococcus pyogenes serotype M1	RL4_STRP1			COG0088
P66634;Q491P1;Q9A1W0	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity;binding;rRNA binding	ribosome;ribonucleoprotein complex;macromolecular complex;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part	translation;metabolic process;biosynthetic process;cellular process;protein metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process	ribosome;ribonucleoprotein complex;macromolecular complex;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;cell part	Ribosome	Ribosomal_S8		Completeproteome;Referenceproteome;Ribonucleoprotein;Ribosomalprotein;RNA-binding;rRNA-binding		GO:0006412;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0019538;GO:0034645;GO:0043170;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0044267	GO:0003676;GO:0003723;GO:0003735;GO:0005198;GO:0005488;GO:0019843	GO:0005840;GO:0030529;GO:0032991;GO:0043226;GO:0043228;GO:0043229;GO:0043232;GO:0044424;GO:0044444;GO:0044464	GO:0006412;GO:0008152;GO:0009058;GO:0009987;GO:0019538;GO:0043170;GO:0044237;GO:0044238	GO:0005840;GO:0030529;GO:0032991;GO:0043226;GO:0043229;GO:0043232;GO:0044464	SPy_0065;M5005_Spy0058	AAK33196;AAZ50677	AAK33196;AAZ50677			rpsH	IPR000630	Ribosomal_S8	ko03010				PF00410			PS00053	RIBOSOMAL_S8	30S ribosomal protein S8					Streptococcus pyogenes serotype M1	RS8_STRP1			COG0096
Q9A1E0;Q490S4		transporter activity;amine transmembrane transporter activity;dicarboxylic acid transmembrane transporter activity;organic acid transmembrane transporter activity;organic acid:sodium symporter activity;cation transmembrane transporter activity;anion transmembrane transporter activity;ion transmembrane transporter activity;monovalent inorganic cation transmembrane transporter activity;sodium ion transmembrane transporter activity;amino acid transmembrane transporter activity;neutral amino acid transmembrane transporter activity;L-amino acid transmembrane transporter activity;L-threonine transmembrane transporter activity;secondary active transmembrane transporter activity;symporter activity;solute:cation symporter activity;anion:cation symporter activity;solute:sodium symporter activity;efflux transmembrane transporter activity;threonine efflux transmembrane transporter activity;sodium:dicarboxylate symporter activity;active transmembrane transporter activity;transmembrane transporter activity;serine transmembrane transporter activity;inorganic cation transmembrane transporter activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;L-amino acid efflux transmembrane transporter activity;metal ion transmembrane transporter activity;carboxylic acid transmembrane transporter activity	plasma membrane;membrane;integral to membrane;intrinsic to membrane;membrane part;cell part		plasma membrane;membrane;cell part		SDF		Amino-acidtransport;Cellmembrane;Completeproteome;Membrane;Referenceproteome;Symport;Transmembrane;Transmembranehelix;Transport			GO:0005215;GO:0005275;GO:0005310;GO:0005342;GO:0005343;GO:0008324;GO:0008509;GO:0015075;GO:0015077;GO:0015081;GO:0015171;GO:0015175;GO:0015179;GO:0015195;GO:0015291;GO:0015293;GO:0015294;GO:0015296;GO:0015370;GO:0015562;GO:0015565;GO:0017153;GO:0022804;GO:0022857;GO:0022889;GO:0022890;GO:0022891;GO:0022892;GO:0034639;GO:0046873;GO:0046943	GO:0005886;GO:0016020;GO:0016021;GO:0031224;GO:0044425;GO:0044464		GO:0005886;GO:0016020;GO:0044464	SPy_0324;M5005_Spy0275	AAK33382;AAZ50894	AAK33382;AAZ50894			sstT	IPR001991;IPR023025	Na-dicarboxylate_symporter;Ser_Thr_transp_SstT					PF00375	PR00173	EDTRNSPORT			Serine/threonine transporter SstT					Streptococcus pyogenes serotype M1	SSTT_STRP1			COG3633
Q99XL5;Q48W49	organic acid metabolic process;nucleobase-containing compound metabolic process;tRNA metabolic process;tRNA aminoacylation for protein translation;arginyl-tRNA aminoacylation;cellular amino acid metabolic process;nitrogen compound metabolic process;metabolic process;amine metabolic process;cellular process;RNA metabolic process;carboxylic acid metabolic process;cellular nitrogen compound metabolic process;ncRNA metabolic process;cellular ketone metabolic process;amino acid activation;tRNA aminoacylation;macromolecule metabolic process;oxoacid metabolic process;cellular amine metabolic process;cellular metabolic process;primary metabolic process;cellular macromolecule metabolic process;small molecule metabolic process;nucleic acid metabolic process	nucleotide binding;catalytic activity;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;binding;ATP binding;ligase activity;ligase activity, forming carbon-oxygen bonds;ligase activity, forming aminoacyl-tRNA and related compounds;purine nucleotide binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding	cytoplasm;intracellular part;cell part	organic acid metabolic process;nucleobase-containing compound metabolic process;tRNA metabolic process;tRNA aminoacylation for protein translation;cellular amino acid metabolic process;nitrogen compound metabolic process;metabolic process;amine metabolic process;cellular process;RNA metabolic process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process	cytoplasm;cell part	Aminoacyl-tRNA biosynthesis	Arg_tRNA_synt_N;DALR_1;tRNA-synt_1d		Aminoacyl-tRNAsynthetase;ATP-binding;Completeproteome;Cytoplasm;Ligase;Nucleotide-binding;Proteinbiosynthesis;Referenceproteome		GO:0006082;GO:0006139;GO:0006399;GO:0006418;GO:0006420;GO:0006520;GO:0006807;GO:0008152;GO:0009308;GO:0009987;GO:0016070;GO:0019752;GO:0034641;GO:0034660;GO:0042180;GO:0043038;GO:0043039;GO:0043170;GO:0043436;GO:0044106;GO:0044237;GO:0044238;GO:0044260;GO:0044281;GO:0090304	GO:0000166;GO:0003824;GO:0004812;GO:0004814;GO:0005488;GO:0005524;GO:0016874;GO:0016875;GO:0016876;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639	GO:0005737;GO:0044424;GO:0044464	GO:0006082;GO:0006139;GO:0006399;GO:0006418;GO:0006520;GO:0006807;GO:0008152;GO:0009308;GO:0009987;GO:0016070;GO:0034641;GO:0042180;GO:0043170;GO:0044237;GO:0044238;GO:0044281	GO:0005737;GO:0044464	SPy_2151;M5005_Spy1808	AAK34788;AAZ52426	AAK34788;AAZ52426			argS	IPR001278;IPR005148;IPR008909;IPR014729;IPR009080	Arg-tRNA-ligase;Arg-tRNA-synth_N;DALR_anticod-bd;Rossmann-like_a/b/a_fold;tRNAsynth_1a_anticodon-bd	ko00970				PF03485;PF05746;PF00750	PR01038	TRNASYNTHARG			Arginine--tRNA ligase			SM01016;SM00836	Arg_tRNA_synt_N;DALR_1	Streptococcus pyogenes serotype M1	SYR_STRP1		6.1.1.19	COG0018
P66959;Q48XD1;Q99YJ2	carbohydrate metabolic process;monosaccharide metabolic process;glucose metabolic process;glucose catabolic process;alcohol metabolic process;pentose-phosphate shunt;nucleobase-containing compound metabolic process;coenzyme metabolic process;oxidoreduction coenzyme metabolic process;NADP metabolic process;NADPH regeneration;nucleoside phosphate metabolic process;nitrogen compound metabolic process;metabolic process;catabolic process;nucleotide metabolic process;cellular process;carbohydrate catabolic process;hexose metabolic process;hexose catabolic process;pyridine nucleotide metabolic process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;cellular carbohydrate metabolic process;cellular carbohydrate catabolic process;small molecule metabolic process;small molecule catabolic process;alcohol catabolic process;monosaccharide catabolic process;heterocycle metabolic process;nicotinamide nucleotide metabolic process;cofactor metabolic process;nucleobase-containing small molecule metabolic process;oxidation-reduction process;pyridine-containing compound metabolic process	catalytic activity;sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity;transferase activity;transferase activity, transferring aldehyde or ketonic groups	cytoplasm;intracellular part;cell part	carbohydrate metabolic process;alcohol metabolic process;nucleobase-containing compound metabolic process;nitrogen compound metabolic process;metabolic process;catabolic process;nucleotide metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;cofactor metabolic process;nucleobase-containing small molecule metabolic process	cytoplasm;cell part	Pentose phosphate pathway	Transaldolase		Completeproteome;Cytoplasm;Pentoseshunt;Referenceproteome;Schiffbase;Transferase		GO:0005975;GO:0005996;GO:0006006;GO:0006007;GO:0006066;GO:0006098;GO:0006139;GO:0006732;GO:0006733;GO:0006739;GO:0006740;GO:0006753;GO:0006807;GO:0008152;GO:0009056;GO:0009117;GO:0009987;GO:0016052;GO:0019318;GO:0019320;GO:0019362;GO:0034641;GO:0044237;GO:0044238;GO:0044262;GO:0044275;GO:0044281;GO:0044282;GO:0046164;GO:0046365;GO:0046483;GO:0046496;GO:0051186;GO:0055086;GO:0055114;GO:0072524	GO:0003824;GO:0004801;GO:0016740;GO:0016744	GO:0005737;GO:0044424;GO:0044464	GO:0005975;GO:0006066;GO:0006139;GO:0006807;GO:0008152;GO:0009056;GO:0009117;GO:0009987;GO:0034641;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0051186;GO:0055086	GO:0005737;GO:0044464	SPy_1678;M5005_Spy1376	AAK34435;AAZ51994	AAK34435;AAZ51994			tal	IPR013785;IPR001585;IPR004731;IPR022999;IPR018225	Aldolase_TIM;Transaldolase;Transaldolase_3A/3B;Transaldolase_3B;Transaldolase_AS	ko00030				PF00923			PS01054;PS00958	TRANSALDOLASE_1;TRANSALDOLASE_2	Probable transaldolase					Streptococcus pyogenes serotype M1	TAL_STRP1		2.2.1.2	COG0176
P69887;P82478;Q48ZU1	carbohydrate metabolic process;monosaccharide metabolic process;glucose metabolic process;glucose catabolic process;alcohol metabolic process;generation of precursor metabolites and energy;gluconeogenesis;glycolysis;pentose-phosphate shunt;nucleobase-containing compound metabolic process;coenzyme metabolic process;oxidoreduction coenzyme metabolic process;NADP metabolic process;NADPH regeneration;nucleoside phosphate metabolic process;nitrogen compound metabolic process;metabolic process;catabolic process;biosynthetic process;nucleotide metabolic process;cellular process;carbohydrate biosynthetic process;carbohydrate catabolic process;hexose metabolic process;hexose biosynthetic process;hexose catabolic process;pyridine nucleotide metabolic process;cellular carbohydrate biosynthetic process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular carbohydrate metabolic process;cellular carbohydrate catabolic process;small molecule metabolic process;small molecule catabolic process;small molecule biosynthetic process;alcohol catabolic process;alcohol biosynthetic process;monosaccharide biosynthetic process;monosaccharide catabolic process;heterocycle metabolic process;nicotinamide nucleotide metabolic process;cofactor metabolic process;nucleobase-containing small molecule metabolic process;oxidation-reduction process;pyridine-containing compound metabolic process	catalytic activity;triose-phosphate isomerase activity;isomerase activity;intramolecular oxidoreductase activity;intramolecular oxidoreductase activity, interconverting aldoses and ketoses	cytoplasm;intracellular part;cell part	carbohydrate metabolic process;alcohol metabolic process;generation of precursor metabolites and energy;nucleobase-containing compound metabolic process;nitrogen compound metabolic process;metabolic process;catabolic process;biosynthetic process;nucleotide metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;cofactor metabolic process;nucleobase-containing small molecule metabolic process	cytoplasm;cell part	Glycolysis / Gluconeogenesis;Fructose and mannose metabolism;Inositol phosphate metabolism;Carbon fixation in photosynthetic organisms	TIM		Completeproteome;Cytoplasm;Gluconeogenesis;Glycolysis;Isomerase;Pentoseshunt;Referenceproteome		GO:0005975;GO:0005996;GO:0006006;GO:0006007;GO:0006066;GO:0006091;GO:0006094;GO:0006096;GO:0006098;GO:0006139;GO:0006732;GO:0006733;GO:0006739;GO:0006740;GO:0006753;GO:0006807;GO:0008152;GO:0009056;GO:0009058;GO:0009117;GO:0009987;GO:0016051;GO:0016052;GO:0019318;GO:0019319;GO:0019320;GO:0019362;GO:0034637;GO:0034641;GO:0044237;GO:0044238;GO:0044249;GO:0044262;GO:0044275;GO:0044281;GO:0044282;GO:0044283;GO:0046164;GO:0046165;GO:0046364;GO:0046365;GO:0046483;GO:0046496;GO:0051186;GO:0055086;GO:0055114;GO:0072524	GO:0003824;GO:0004807;GO:0016853;GO:0016860;GO:0016861	GO:0005737;GO:0044424;GO:0044464	GO:0005975;GO:0006066;GO:0006091;GO:0006139;GO:0006807;GO:0008152;GO:0009056;GO:0009058;GO:0009117;GO:0009987;GO:0034641;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0051186;GO:0055086	GO:0005737;GO:0044464	SPy_0613;M5005_Spy0509	AAK33587;AAZ51127	AAK33587;AAZ51127			tpiA	IPR013785;IPR022896;IPR000652;IPR020861	Aldolase_TIM;TrioseP_Isoase_bac/euk;Triosephosphate_isomerase;Triosephosphate_isomerase_AS	ko00010;ko00051;ko00562;ko00710				PF00121			PS00171;PS51440	TIM_1;TIM_2	Triosephosphate isomerase					Streptococcus pyogenes serotype M1	TPIS_STRP1		5.3.1.1	COG0149
Q9A1Q1;Q491G6	nucleobase-containing compound metabolic process;purine nucleotide metabolic process;purine nucleotide biosynthetic process;nucleoside phosphate metabolic process;ATP biosynthetic process;nitrogen compound metabolic process;transport;ion transport;cation transport;hydrogen transport;metabolic process;biosynthetic process;nucleotide metabolic process;nucleoside triphosphate metabolic process;nucleoside triphosphate biosynthetic process;purine nucleoside triphosphate metabolic process;purine nucleoside triphosphate biosynthetic process;purine ribonucleotide metabolic process;purine ribonucleotide biosynthetic process;nucleotide biosynthetic process;ribonucleoside triphosphate metabolic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate biosynthetic process;ribonucleotide metabolic process;ribonucleotide biosynthetic process;cellular process;monovalent inorganic cation transport;energy coupled proton transport, down electrochemical gradient;ATP synthesis coupled proton transport;proton transport;heterocycle biosynthetic process;ion transmembrane transport;cellular nitrogen compound metabolic process;nucleobase-containing compound biosynthetic process;plasma membrane ATP synthesis coupled proton transport;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular nitrogen compound biosynthetic process;small molecule metabolic process;ATP metabolic process;heterocycle metabolic process;establishment of localization;transmembrane transport;nucleobase-containing small molecule metabolic process;purine-containing compound metabolic process;purine-containing compound biosynthetic process	nucleotide binding;transporter activity;binding;ATP binding;cation transmembrane transporter activity;ion transmembrane transporter activity;monovalent inorganic cation transmembrane transporter activity;hydrogen ion transmembrane transporter activity;purine nucleotide binding;transmembrane transporter activity;inorganic cation transmembrane transporter activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;hydrogen ion transporting ATP synthase activity, rotational mechanism		nucleobase-containing compound metabolic process;nitrogen compound metabolic process;transport;ion transport;hydrogen transport;metabolic process;biosynthetic process;nucleotide metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;establishment of localization;transmembrane transport;nucleobase-containing small molecule metabolic process		Oxidative phosphorylation;Methane metabolism	ATP-synt_D		ATPsynthesis;Completeproteome;Hydrogeniontransport;Iontransport;Referenceproteome;Transport		GO:0006139;GO:0006163;GO:0006164;GO:0006753;GO:0006754;GO:0006807;GO:0006810;GO:0006811;GO:0006812;GO:0006818;GO:0008152;GO:0009058;GO:0009117;GO:0009141;GO:0009142;GO:0009144;GO:0009145;GO:0009150;GO:0009152;GO:0009165;GO:0009199;GO:0009201;GO:0009205;GO:0009206;GO:0009259;GO:0009260;GO:0009987;GO:0015672;GO:0015985;GO:0015986;GO:0015992;GO:0018130;GO:0034220;GO:0034641;GO:0034654;GO:0042777;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0046034;GO:0046483;GO:0051234;GO:0055085;GO:0055086;GO:0072521;GO:0072522	GO:0000166;GO:0005215;GO:0005488;GO:0005524;GO:0008324;GO:0015075;GO:0015077;GO:0015078;GO:0017076;GO:0022857;GO:0022890;GO:0022891;GO:0022892;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0046933		GO:0006139;GO:0006807;GO:0006810;GO:0006811;GO:0006818;GO:0008152;GO:0009058;GO:0009117;GO:0009987;GO:0034641;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0051234;GO:0055085;GO:0055086		SPy_0157;M5005_Spy0133	AAK33259;AAZ50752	AAK33259;AAZ50752			atpD	IPR002699	V_ATPase_D	ko00190;ko00680				PF01813					V-type ATP synthase subunit D					Streptococcus pyogenes serotype M1	VATD_STRP1			COG1394
Q99YE0;Q48X22	organic acid metabolic process;lipid metabolic process;fatty acid metabolic process;fatty acid biosynthetic process;metabolic process;lipid biosynthetic process;biosynthetic process;cellular process;organic acid biosynthetic process;carboxylic acid metabolic process;monocarboxylic acid metabolic process;cellular ketone metabolic process;oxoacid metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular lipid metabolic process;small molecule metabolic process;small molecule biosynthetic process;carboxylic acid biosynthetic process	nucleotide binding;catalytic activity;acetyl-CoA carboxylase activity;binding;ATP binding;zinc ion binding;CoA carboxylase activity;ligase activity;ligase activity, forming carbon-carbon bonds;purine nucleotide binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;ion binding;cation binding;metal ion binding;transition metal ion binding	acetyl-CoA carboxylase complex;macromolecular complex;protein complex;intracellular part;cytoplasmic part;cell part	organic acid metabolic process;lipid metabolic process;metabolic process;biosynthetic process;cellular process;cellular ketone metabolic process;cellular metabolic process;primary metabolic process;cellular lipid metabolic process;small molecule metabolic process	acetyl-CoA carboxylase complex;macromolecular complex;protein complex;cell part	Fatty acid biosynthesis;Tetracycline biosynthesis;Pyruvate metabolism;Propanoate metabolism;Carbon fixation pathways in prokaryotes	Carboxyl_trans		ATP-binding;Completeproteome;Cytoplasm;Fattyacidbiosynthesis;Fattyacidmetabolism;Ligase;Lipidbiosynthesis;Lipidmetabolism;Metal-binding;Nucleotide-binding;Referenceproteome;Zinc;Zinc-finger		GO:0006082;GO:0006629;GO:0006631;GO:0006633;GO:0008152;GO:0008610;GO:0009058;GO:0009987;GO:0016053;GO:0019752;GO:0032787;GO:0042180;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0044283;GO:0046394	GO:0000166;GO:0003824;GO:0003989;GO:0005488;GO:0005524;GO:0008270;GO:0016421;GO:0016874;GO:0016885;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0043167;GO:0043169;GO:0046872;GO:0046914	GO:0009317;GO:0032991;GO:0043234;GO:0044424;GO:0044444;GO:0044464	GO:0006082;GO:0006629;GO:0008152;GO:0009058;GO:0009987;GO:0042180;GO:0044237;GO:0044238;GO:0044255;GO:0044281	GO:0009317;GO:0032991;GO:0043234;GO:0044464	SPy_1744;M5005_Spy1485	AAK34488;AAZ52103	AAK34488;AAZ52103			accD	IPR000438;IPR000022;IPR029045;IPR011762	Acetyl_CoA_COase_Trfase_b_su;Carboxyl_trans;ClpP/crotonase-like_dom;COA_CT_N	ko00061;ko00253;ko00620;ko00640;ko00720				PF01039	PR01070	ACCCTRFRASEB	PS50980	COA_CT_NTER	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta					Streptococcus pyogenes serotype M1	ACCD_STRP1		6.4.1.2	COG0777
