												annotations												log2 SILAC ratios UV / ctrl																												protein abundances																															
Q99YG5	copA	SPy_1715	Putative cation-transporting ATP-ase-copper transport operon OS=Streptococcus pyogenes serotype M1 OX=301447 GN=copA PE=3 SV=1				18	9	733	78.9	5.5	metal ion transport	cation-transporting ATPase activity;metal ion binding;nucleotide binding	integral component of membrane;plasma membrane	HMA	PF00403	ATPase_P-typ_cyto_dom_N;ATPase_P-typ_P_site;ATPase_P-typ_TM_dom_sf;ATPase_P-typ_transduc_dom_A_sf;HAD_sf;HAD-like_sf;HMA_dom;HMA_dom_sf;P_typ_ATPase;P-typ_ATPase_IB	IPR001757;IPR006121;IPR008250;IPR018303;IPR023214;IPR023298;IPR023299;IPR027256;IPR036163;IPR036412				Cell membrane{ECO:0000256|RuleBase:RU362081}.	-	0.227467864	-0.182339137	0.323750086	-1.212505912	0.523974604	0.930974226	-0.210906775	0.119726057	0.013628374	-0.68796936	-0.141186988	0.325029059	0.996825293	-0.173950479	NA	NA	NA	NA	NA	NA	NA	0.019261867	0.84422577	-1.037512187	0.334953966	0.913023361	0.92880701	0.040232354	28104709.3	43258227.96	38067321.37	45098390.65	29364059.77	44323294	25958798.33	43662048.02	152669707.2	162499338.4	166692292.7	158532051.8	156582389.4	96690730.74	180037343.6	168636761.2	8631066.967	1178167.007	1995762.848	213435.7347	1783190.696	1005610.888	1074642.377	429671.6225	1021193.275	2761147.916	3219925.841	773558.0842	1331748.978	1823393.547	3202717.244	1014771.721
Q9A0G5	rgpAc	SPy_0786	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=rgpAc PE=4 SV=1				55	18	384	43.9	7.36				DUF1972	PF09314	DUF1972	IPR015393					-	0.028439133	-0.039172732	-0.03869507	0.000576834	0.686625341	0.973705407	-0.012212959	-0.050203099	0.023736397	0.048103262	-0.122101164	0.597008865	0.996825293	-0.025116151	-0.218359585	0.652099617	-1.176484758	0.230540293	0.723618274	0.781659272	-0.128051108	NA	NA	NA	NA	NA	NA	NA	423785140.1	463424016.4	423636350.9	388567497.4	452143647.4	444082332.6	4946718829	484054364.7	487070434.8	386419901.8	7210946342	384331618	536348998.4	487561604.7	492829616.4	460776681.2	3147963.377	6833510.875	7120788.758	6022037.704	6737076.266	10830118.83	1348277.494	12495133.82	1134301.306	3775424.362	3802407.776	3757095.199	1187494.164	2926131.341	2737163.558	4579625.616
Q9A0X2		SPy_0575	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0575 PE=4 SV=1				38	8	271	31.3	8.05			integral component of membrane	DUF1980	PF09323	DUF1980	IPR015402					-	0.116442829	-0.03795112	0.283888537	-0.224006857	0.737178471	0.986722081	0.034593347	-0.081236835	-0.009216819	-0.004018025	-0.088508412	0.259069123	0.996825293	-0.045745023	2.466030553	2.229164296	2.605018581	2.233878223	1.33E-05	0.000255907	2.383522913	4.807772275	5.54769124	4.302189193	6.608273394	0.000202177	0.000954727	5.316481525	156565209.2	168678478.4	167528358.7	157792969.6	162223155.2	180321558.3	152911794.1	215350905.8	207747646.5	189951638.3	203138989	188710976.5	209767425.8	178216101.1	197382599.8	187710217.3	3728154.477	26645458	18162542.55	3479718.949	2912732.659	14553487.48	22556079.66	4688879.218	1185483.318	43716309.81	42194038.65	136875.0644	1689201.21	39200703.2	40452848.57	NA
Q99XX9		SPy_1971	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1971 PE=4 SV=1				45	4	124	13.8	4.82	cell redox homeostasis		cell	Thioredoxin	PF00085	Thioredoxin_domain;Thioredoxin-like_sf	IPR013766;IPR036249					-	1.655792907	0.229498539	1.20106127	0.633171319	0.025644507	0.560460256	0.929881009	0.365572981	0.459013898	1.882919615	0.514322622	0.057664107	0.859934963	0.805457279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18129971.55	33228385.65	39605922.22	29949545.66	16642117.58	30235335.57	30006532.06	20090431.8	23682706.87	33290843.13	48023294.5	29341242.73	13988731.44	37012338.12	34905593.15	20935221.73	154432.3731	76314.37394	157833.9632	NA	NA	205911.1663	NA	NA	88803.45353	65752.14777	253776.2691	NA	NA	323771.2533	366488.1166	NA
Q99ZK4		SPy_1193	Uncharacterized protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1193 PE=4 SV=1				63	7	160	18.5	9.76												-	0.229355886	-0.116351761	0.19008924	-0.11927266	0.617338227	0.948356955	0.045955176	0.018527595	0.000181502	-0.001220122	-0.151870699	0.492589994	0.996825293	-0.033595431	1.965063683	1.655479787	1.58959014	1.347909919	0.000151182	0.000883996	1.639510882	2.629345726	2.899986116	1.460361138	3.036791897	0.001151182	0.003387133	2.506621219	996802404.6	1091881637	1069301764	990789994.7	1040305710	1075164181	998972116	1178458818	926959779.6	861719987	924810371	823759615.1	945792187.1	936864497.3	1026618709	1012582552	16940189.66	59756295.3	63708114.4	15622448.86	26792453.14	60859948.35	50073749.1	20576245.53	7522194.245	22289336.7	36427054.34	1990938.721	9104647.326	25594105.48	31010227.69	1967579.013
Q99ZG9		SPy_1236	Putative histidine kinase protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1236 PE=4 SV=1				22	7	436	50	8.7		ATP binding;phosphorelay sensor kinase activity	integral component of membrane	HATPase_c;HisKA	PF00512;PF02518	HATPase_C;HATPase_C_sf;His_kinase_dom;HisK_dim/P;HisK_dim/P_sf;Sig_transdc_His_kin-like_C	IPR003594;IPR003661;IPR004358;IPR005467;IPR036097;IPR036890					-	-0.178679517	0.138179952	0.017928373	-0.007847781	0.906954576	0.998860838	-0.007604743	0.450912328	0.282150979	-0.081195526	0.124303419	0.124935971	0.996825293	0.1940428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47541704.3	40090985.33	19979041.55	35717178.53	35991488.13	48000761.37	37321203.81	55181043.29	38173639.16	53707482.08	42221866.4	44786417.16	62774938.21	57818575.45	45781523.68	41693140.1	275262.5435	NA	513102.3524	NA	298229.0722	98387.27738	193505.2741	375906.8455	NA	808770.275	NA	NA	NA	260980.2082	NA	NA
Q99YW3	ileS	M5005_Spy1243;SPy_1513	Isoleucine--tRNA ligase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=ileS PE=3 SV=1	Isoleucine--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_02002}			52	38	933	105	5	isoleucyl-tRNA aminoacylation	aminoacyl-tRNA editing activity;ATP binding;isoleucine-tRNA ligase activity;tRNA binding	cytoplasm	Anticodon_1;tRNA-synt_1	PF00133;PF08264	aa-tRNA-synth_I_CS;aa-tRNA-synth_Ia;Anticodon_Ile_BEm;Ile-tRNA-ligase;Ile-tRNA-ligase_type1;M/V/L/I-tRNA-synth_anticd-bd;Rossmann-like_a/b/a_fold;tRNAsynth_Ia_anticodon-bd;Val/Leu/Ile-tRNA-synth_edit	IPR001412;IPR002300;IPR002301;IPR009008;IPR009080;IPR013155;IPR014729;IPR023585;IPR033708		6.1.1.5	Catalyzes the attachment of isoleucine to tRNA(Ile). AsIleRS can inadvertently accommodate and process structurallysimilar amino acids such as valine, to avoid such errors it hastwo additional distinct tRNA(Ile)-dependent editing activities.One activity is designated as 'pretransfer' editing and involvesthe hydrolysis of activated Val-AMP. The other activity isdesignated 'posttransfer' editing and involves deacylation ofmischarged Val-tRNA(Ile).	Cytoplasm {ECO:0000255|HAMAP-Rule:MF_02002}.	RBP	0.055522535	-0.017814365	0.069452924	-0.022310178	0.542275935	0.938770035	0.021212729	0.014647627	-0.022731759	0.016771067	-0.02776741	0.88445004	0.996825293	-0.004770119	1.263540672	1.185402455	1.110930308	1.424410756	9.75E-05	0.000683782	1.246071048	0.778005559	0.859469849	1.179383894	0.944646022	0.00079622	0.002506619	0.940376331	5416929000	5441164050	5544400035	5115963898	5303854383	5306157304	4828633292	5989103795	4625364155	4702387730	4696460280	4415254900	4906900372	4819027368	4821494789	4327947829	113032012.5	181561453.8	146929030.7	221540852.6	176284703.1	152246456.8	126606984.4	269099992	41327492.29	72454887.09	56097932.18	28670564.3	28436980.71	70300900.52	52430633.69	34651773.65
Q99XX6	msmK	SPy_1976	Multiple sugar-binding ABC transport system (ATP-binding protein) OS=Streptococcus pyogenes serotype M1 OX=301447 GN=msmK PE=3 SV=1				63	20	377	42	6.06		ATP binding;ATPase activity	plasma membrane	ABC_tran;TOBE	PF00005;PF03459	AAA+_ATPase;ABC_transporter_CS;ABC_transporter-like;Mo/tungstate-bd_C_term_dom;P-loop_NTPase;Transp-assoc_OB_typ1	IPR003439;IPR003593;IPR005116;IPR008995;IPR017871;IPR027417					-	-0.097634223	0.10340378	-0.049472484	0.058076777	0.942456002	0.998860838	0.003593462	-0.091955656	0.101100409	-0.100292644	0.063696781	0.903324258	0.996825293	-0.006862777	1.00672249	1.197321397	0.718432389	1.212054854	0.000731966	0.002788757	1.033632782	1.559754379	2.450693881	1.340908777	2.282510679	0.001210701	0.00352162	1.908466929	871434471.7	1171094838	992908517.4	1133033192	921640514.2	1540630515	806132946.1	1495311780	764758327.8	650533637.4	805041626.6	602820945.6	919518368.5	822501173.4	892181442.9	690630944.4	8868229.04	41478165.41	26960467.89	16396178.56	10534839.62	28318056.8	20479554.01	17409619.1	8032506.851	72168082.15	24391694.08	15395139.47	12604893.72	77696006.91	21734670.73	23228098.76
Q9A0D9		SPy_0816	Putative iron-sulfur cofactor synthesis protein OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0816 PE=3 SV=2				53	15	380	41.2	8.75		catalytic activity		Aminotran_5	PF00266	Aminotrans_V_dom;Aminotrans_V_PyrdxlP_BS;Cysteine_dSase;PyrdxlP-dep_Trfase;PyrdxlP-dep_Trfase_dom1;PyrdxlP-dep_Trfase_major	IPR000192;IPR015421;IPR015422;IPR015424;IPR016454;IPR020578					-	0.1405638	-0.123520602	0.12640346	0.081694954	0.385766445	0.930974226	0.056285403	0.091939671	0.013628374	-0.041558912	-0.078049101	0.938672251	0.996825293	-0.003509992	0.783904447	0.862537598	1.038859147	1.155544519	0.000446483	0.001898681	0.960211428	1.497272308	0.729306582	1.018348752	0.861091586	0.002838966	0.006894632	1.026504807	378349795.8	430171690.2	358828226	380695109.5	365726666.3	401886732	371417540.5	475430183.9	320901167.5	419535113.2	333495840.4	358311731.7	453997401.2	410684426.8	362761895.9	382635889.1	3721992.968	5235112.451	6132073.917	2588995.622	2086984.084	4652873.172	3446530.426	2483593.942	1456515.116	2915292.97	3962802.824	1596885.013	1782424.18	4250905.535	2689905.7	972993.9806
Q99ZM7		SPy_1161	Ribosome biogenesis GTPase A OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_1161 PE=3 SV=1	Ribosome biogenesis GTPase A {ECO:0000256|PIRNR:PIRNR006230}			46	12	282	32.2	9.35		GTP binding	cytoplasm	MMR_HSR1	PF01926	G_CP_dom;GTP_binding_domain;GTPase_MTG1;GTP-bd_ortho_bundle_sf;GTP-bd_ribosome_bgen;P-loop_NTPase	IPR006073;IPR016478;IPR019991;IPR023179;IPR027417;IPR030378			Required for a late step of 50S ribosomal subunitassembly. Has GTPase activity.	Cytoplasm {ECO:0000256|PIRNR:PIRNR006230}.	RBP	-0.041201203	0.038984439	-0.019659967	0.09903758	0.624061049	0.951664765	0.019290212	0.047120791	-0.001586559	0.095079192	-0.136003783	0.983190021	0.996825293	0.00115241	2.399300715	1.968966171	1.869247158	2.086797996	4.22E-05	0.000449313	2.08107801	2.249900256	2.316132817	2.405197025	2.480147921	8.72E-06	0.000149197	2.362844505	322347145.9	318956929.8	314724418.8	270969350.8	319773697.6	335041721.9	291837115.6	347460848.9	303321330.6	305101008	306111250.1	295151102.5	311021171	367624742.9	267232492.3	358726215.2	2114920.389	11179012.24	10701947.19	2606048.536	3510419.574	12947671.95	9766356.066	3197019.102	2623755.649	12355585.45	13851326.58	2146282.974	2682295.903	12323751.59	10930799.96	1564774.919
