locus_tag	old_locus_tag	Gene_name	UniProt	protein_id	Pfam	eggNOG_PFAMs	Interpro	RBP_type	OOPS_rep1	OOPS_rep2	OOPS_rep3	OOPS_rep4	OOPS_mean	OOPS_p_val	OOPS_p_adj	RNA_binding_sites	Novel_RBP	product	Bacteria_OGs	Firmicutes_OGs	eco-shchepachev	eco-queiroz	eco-monti	eco-stenum	sal-urdaneta	sau-chu
SPY_RS00220	SPy_0021	recO	P65987	WP_002986719.1	"RecO_C;RecO_N"	RecO_C,RecO_N	"DNA_rep/recomb_RecO_N;NA-bd_OB-fold;RecO"	-	0.91326992	0.257993838	0.878552596	1.237893485	0.82192746	0.010232678	0.022733285	-	No	DNA repair protein RecO	COG1381	1UZ19	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS00225	SPy_0022	plsX	P65742	WP_002987696.1	FA_synthesis	FA_synthesis	"FA_synthesis;IsoPropMal-DH-like_dom;Phospholipid_synth_PlsX-like"	-	1.23254103	1.191229298	1.355375192	1.087788948	1.216733617	0.0000785	0.000610942	-	No	phosphate acyltransferase PlsX	COG0416	1TPXS	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00230	SPy_0023	acpP_1	Q9A1Z4	WP_010921770.1	PP-binding	PP-binding	"Acyl_carrier;Acyl_carrier_prot-like"	-	1.119224327	1.542474144	1.227731159	1.655479787	1.386227354	0.000298595	0.001453278	-	No	phosphopantetheine-binding protein	COG0236	COG0236	no_RBP	RBP	no_RBP	RBP	RBP	no_homolog
SPY_RS00235	SPy_0024	purC	Q9A1Z3	WP_015055882.1	SAICAR_synt	SAICAR_synt	"ATP_grasp_subdomain_2;SAICAR_synt/ADE2_N;SAICAR_synth;SAICAR_synthetase_CS"	-	0.764101116	0.566899305	0.493824981	0.463365455	0.572047714	0.002252289	0.006932818	-	No	phosphoribosylaminoimidazolesuccinocarboxamide synthase	COG0152	1TP11	no_RBP	no_RBP	RBP	no_RBP	no_RBP	no_RBP
SPY_RS00240	SPy_0025	purL	Q9A1Z2	WP_015055883.1	"AIRS;AIRS_C"	AIRS_C,GATase_5	"AIR_synth_C_dom;AIR_synth_N_dom;Class_I_gatase-like;FGAM_synthase;PurM_N-like"	-	-0.025054094	0.33446874	0.084741025	-0.349642302	0.011128342	0.938614999	0.967336389	-	No	phosphoribosylformylglycinamidine synthase	COG0046	1TPAS	no_RBP	RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00245	SPy_0026	purF	Q9A1Z1	WP_010921773.1	"GATase_7;Pribosyltran"	GATase_6,GATase_7,Pribosyltran	"GATase_2_dom;GATase_dom;Ntn_hydrolases_N;PRibTrfase_dom;PRTase-like;PurF"	-	0.468197614	0.517114234	0.429883023	0.368582452	0.445944331	0.00256185	0.007629467	-	No	amidophosphoribosyltransferase	COG0034	1TPH3	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00250	SPy_0027	purM	Q9A1Z0	WP_010921774.1	"AIRS;AIRS_C"	AIRS,AIRS_C	"AIR_synth_C_dom;AIR_synth_N_dom;PurM_cligase;PurM_N-like"	-	0.432154568	0.089663849	0.38039223	-0.516634664	0.096393996	0.64653428	0.713475575	-	No	phosphoribosylformylglycinamidine cyclo-ligase	COG0150	1TP9J	no_RBP	RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00255	SPy_0028	purN	Q9A1Y9	WP_010921775.1	Formyl_trans_N	Formyl_trans_N	"Formyl_transf_N;PurN_trans"	-	-	-	-	-	-	-	-	-	No	phosphoribosylglycinamide formyltransferase	COG0299	1V3RJ	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00265	SPy_0031	SPy_0031	Q9A1Y8	WP_010921776.1	"CHAP;SH3_5"	CHAP,SH3_5	"CHAP_dom;SH3-like_bac-type"	-	-	-	-	-	-	-	-	-	No	CHAP domain-containing protein	COG3942	1VUNU	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS00270	SPy_0032	purD	Q9A1Y7	WP_010921777.1	"GARS_A;GARS_C;GARS_N"	GARS_A,GARS_C,GARS_N	"ATP-grasp;ATP_grasp_subdomain_1;ATP_grasp_subdomain_2;PreATP-grasp_dom;PRibGlycinamid_synth_ATP-grasp;PRibGlycinamide_synth;PRibGlycinamide_synth_C-dom;PRibGlycinamide_synth_CS;PRibGlycinamide_synth_N;Rudment_hybrid_motif"	-	0.970669512	-0.455726838	1.817864445	0.055254365	0.597015371	0.235291091	0.319540481	-	No	phosphoribosylamine--glycine ligase	COG0151	1UHN9	no_RBP	RBP	RBP	no_RBP	no_RBP	no_RBP
SPY_RS00275	SPy_0033	purE	Q9A1Y6	WP_002987716.1	AIRC	AIRC	"N5-CAIR_mutase_PurE;PurE_dom"	-	0.184557685	-0.288134563	0.770718605	-0.147899037	0.129810672	0.56789491	0.648236697	2K	No	5-(carboxyamino)imidazole ribonucleotide mutase	COG0041	1V1MV	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00280	SPy_0034	purK	Q9A1Y5	WP_015055885.1	ATP-grasp	2-Hacid_dh_C,ATP-grasp	"ATP-grasp;ATP-grasp_carboxylate-amine;ATP_grasp_subdomain_2;PreATP-grasp_dom;PurK;Rudment_hybrid_motif"	-	-0.349642302	-0.31030974	-0.383783553	-1.452607432	-0.624085757	0.059557241	0.100094205	-	No	5-(carboxyamino)imidazole ribonucleotide synthase	COG0026	1TQCD	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00285	SPy_0035	SPy_0035	Q9A1Y4	WP_010921779.1	AIPR	AIPR	Abortive_phage_infection	-	0.330587437	-0.106783507	0.192634988	-0.372922445	0.010879118	0.944686344	0.970031587	-	No	AIPR family protein	2Z7VT	1TT61	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS00290	SPy_0036	purB	Q9A1Y3	WP_010921780.1	"ADSL_C;Lyase_1"	ADSL_C,Lyase_1	"AdenyloSucc_lyase_C;Fumarase/histidase_N;Fumarate_lyase_CS;Fumarate_lyase_fam;Fumarate_lyase_N;L-Aspartase-like;Pur_lyase"	-	0.210594435	-0.170385101	0.325920778	-0.66145744	-0.073831832	0.729086759	0.785026919	-	No	adenylosuccinate lyase	COG0015	1TPMM	no_RBP	no_RBP	RBP	no_RBP	no_RBP	no_RBP
SPY_RS00295	SPy_0037	rgg4	Q9A1Y2	WP_002986681.1	-	HTH_19,HTH_3	"Cro/C1-type_HTH;Lambda_DNA-bd_dom"	-	-	-	-	-	-	-	-	-	No	transcriptional regulator Rgg4/ComR	COG1396	1VWIE	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS00300	SPy_0038	ruvB	Q9A1Y1	WP_002986679.1	"RuvB_C;RuvB_N"	RuvB_C,RuvB_N	"AAA+_ATPase;DNA_helicase_Holl-junc_RuvB;DNA_helicase_Holl-junc_RuvB_C;DNA_helicase_Holl-junc_RuvB_N;P-loop_NTPase;WHTH_DNA-bd_dom"	-	0.104049898	-0.045551861	-0.089858124	0.230426569	0.049766621	0.604530884	0.675472379	-	No	Holliday junction branch migration DNA helicase RuvB	COG2255	1TR47	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00305	SPy_0039	ptpA	Q9A1Y0	WP_002994668.1	LMWPc	LMWPc	"Ptyr_pPase_SF;Tyr_phospatase/Ars_reductase;Tyr_phospatase_low_mol_wt"	-	0.493373533	-0.90682121	0.244479744	0.251383546	0.020603903	0.943554986	0.970031587	-	No	low molecular weight phosphotyrosine protein phosphatase	COG0394	1V6SG	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00310	SPy_0040	SPy_0040	Q9A1X9	WP_010921781.1	MORN	MORN	"MORN;UCP034300_MORN_rpt-cont"	-	1.841563718	1.184592842	1.310516475	3.261367047	1.899510021	0.00870273	0.020021034	-	No	MORN repeat-containing protein	COG4642	1V30F	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog	no_homolog
SPY_RS00315	SPy_0041	SPy_0041	Q9A1X8	WP_010921782.1	Acyl_transf_3	Acyl_transf_3	"Acyl_transf_3;SGNH_hydro"	-	-	-	-	-	-	-	-	-	No	acyltransferase family protein	COG1835	1U6DU	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS00325	SPy_0044	adhP	Q9A1X7	WP_010921783.1	"ADH_N;ADH_zinc_N"	ADH_N,ADH_zinc_N	"ADH_C;ADH_GroES-like;ADH_SF_Zn-type;ADH_Zn_CS;GroES-like;NAD(P)-bd_dom"	-	-2.238873018	-0.217089141	-1.252096789	0.075448377	-0.908152643	0.111595248	0.16869515	-	No	alcohol dehydrogenase AdhP	COG1064	1TP5B	no_RBP	RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00330	SPy_0045	norN	Q9A1X6	WP_010921784.1	MatE	MatE	MATE	-	-	-	-	-	-	-	-	-	No	MATE family efflux transporter	COG0534	1TQMT	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_homolog
SPY_RS00335	SPy_0047	rpsJ	P66341	WP_001284518.1	Ribosomal_S10	Ribosomal_S10	"Ribosomal_S10;Ribosomal_S10_CS;Ribosomal_S10_dom"	Ribosomal protein	2.271208478	2.588996483	2.437355572	2.252283817	2.387461088	0.00000918	0.000255907	"13Y; 15H; 20T; 21A; 24K; 25I; 28T; 30T; 31R; 52I; 53R; 72R; 73L; 77I; 78N"	No	30S ribosomal protein S10	COG0051	1V6C9	RBP	RBP	RBP	RBP	no_RBP	RBP
SPY_RS00340	SPy_0049	rplC	Q9A1X4	WP_010921785.1	Ribosomal_L3	Ribosomal_L3	"Ribosomal_L3;Ribosomal_L3_bac/org-type;Ribosomal_L3_CS;Transl_B-barrel"	Ribosomal protein	1.331720623	2.331072368	2.014111619	1.77482396	1.862932143	0.000485174	0.002032422	"62N; 64P; 65A; 66K; 67G; 117F; 148A; 149P; 163G"	No	50S ribosomal protein L3	COG0087	1TPFT	no_RBP	RBP	RBP	RBP	RBP	RBP
SPY_RS00345	SPy_0050	rplD	P0C0D6	WP_002986657.1	Ribosomal_L4	Ribosomal_L4	"Ribosomal_L4/L1e;Ribosomal_L4_dom;Ribosomal_uL4/L1e"	Ribosomal protein	2.183256507	2.69938558	2.218013056	1.808873411	2.227382139	0.000141639	0.000845816	"5K; 83W; 90F; 134P"	No	50S ribosomal protein L4	COG0088	1TPGW	RBP	RBP	RBP	RBP	RBP	RBP
SPY_RS00350	SPy_0051	rplW	Q9A1X2	WP_002986656.1	Ribosomal_L23	Ribosomal_L23	"Nucleotide-bd_a/b_plait;Ribosomal_L23/L15e_core_dom;Ribosomal_L23/L25_CS;Ribosomal_L25/23"	Ribosomal protein	3.444152099	3.983885505	3.437832489	3.261367047	3.531809285	0.0000124	0.000255907	"1M; 2N; 10P; 13T; 31T; 32R; 57V; 58N; 60K; 61P; 62K; 66V; 68R; 69Y; 71G; 78K; 79A"	No	50S ribosomal protein L23	COG0089	1VA4W	RBP	RBP	RBP	RBP	RBP	RBP
SPY_RS00355	SPy_0052	rplB	P60434	WP_002986654.1	"Ribosomal_L2;Ribosomal_L2_C"	Ribosomal_L2,Ribosomal_L2_C	"NA-bd_OB-fold;Rbsml_prot_L2_RNA-bd_dom;Rib_L2_dom2;Ribosomal_L2;Ribosomal_L2_bac/org-type;Ribosomal_L2_C;Ribosomal_L2_CS;Ribosomal_L2_dom3;Translation_prot_SH3-like"	Ribosomal protein	3.877538416	3.859260923	3.62542105	3.622053525	3.746068479	0.00000112	0.000206812	"5V; 14R; 15N; 17T; 21F; 37L; 78V; 83Y; 93L; 106A; 107P; 144I; 166G; 168E; 169G; 181V; 188C; 192I; 196G; 197N; 198E; 204N; 206G; 218P; 224V; 226N; 227P; 229D; 230H; 231P; 236E; 239A; 240P; 249P; 250W"	No	50S ribosomal protein L2	COG0090	1TP9X	RBP	RBP	RBP	RBP	RBP	RBP
SPY_RS00360	SPy_0053	rpsS	P66496	WP_000533765.1	Ribosomal_S19	Ribosomal_S19	"Ribosomal_S19;Ribosomal_S19_bac-type;Ribosomal_S19_CS;Ribosomal_S19_SF"	Ribosomal protein	1.533303901	0.632121778	1.888009867	0.887357528	1.235198268	0.00729002	0.01743806	"7K; 8G; 9P; 57H; 58V; 59P; 61Y; 63Q; 64E; 76P; 77T; 80Y"	No	30S ribosomal protein S19	COG0185	1V6CX	RBP	no_RBP	RBP	no_RBP	RBP	RBP
SPY_RS00365	SPy_0055	rplV	P0C0D4	WP_002986651.1	Ribosomal_L22	Ribosomal_L22	"Ribosomal_L22;Ribosomal_L22/L17_CS;Ribosomal_L22_bac/chlpt-type"	Ribosomal protein	1.6848228	2.03936603	1.745592658	1.508687202	1.744617172	0.0000776	0.000610942	"8K; 29R; 33V; 35D; 36A; 37I; 39I; 40L; 41K; 42F; 52E; 63E; 66F; 75V; 76S; 79F; 80A; 82E; 83G; 84P; 85T; 86M; 87K; 101N; 103R; 106H"	No	50S ribosomal protein L22	COG0091	1V6PU	RBP	RBP	RBP	RBP	no_RBP	RBP
SPY_RS00370	SPy_0056	rpsC	P66555	WP_000529929.1	"KH_2;Ribosomal_S3_C"	KH_2,Ribosomal_S3_C	"KH_dom;KH_dom-like_a/b;KH_dom_type_2;KH_prok-type;Ribosomal_S3_bac;Ribosomal_S3_C;Ribosomal_S3_CS"	Ribosomal protein	3.553214792	3.800938091	3.497386271	3.386401473	3.559485157	0.00000221	0.000206812	"5V; 62K; 72P; 73G; 74M; 76I; 77G; 79G; 87R; 97Q; 98V; 99H; 107Q; 109D; 120A; 125Q; 126R; 152V; 154G; 156L; 158G; 159A; 160D; 161I; 162A; 163R; 165E; 169E; 173P; 175H; 185W; 187E; 199V; 200W"	No	30S ribosomal protein S3	COG0092	1TPCP	RBP	RBP	RBP	RBP	no_RBP	RBP
SPY_RS00375	SPy_0057	rplP	Q9A1W7	WP_002986644.1	Ribosomal_L16	Ribosomal_L16	"Ribosomal_L10e/L16;Ribosomal_L16;Ribosomal_L16_CS"	Ribosomal protein	1.314733171	1.293476082	1.423011581	2.082859559	1.528520098	0.000707478	0.002732553	"36A; 38T; 40H; 41W; 49A; 71H; 75T; 76A; 77K; 85S; 86G; 93W; 96P; 108G; 109V; 110S"	No	50S ribosomal protein L16	COG0197	1V1AY	RBP	RBP	RBP	no_RBP	no_RBP	RBP
SPY_RS00380	SPy_0059	rpmC	P66176	WP_000775731.1	Ribosomal_L29	Ribosomal_L29	"Ribosomal_L29;Ribosomal_L29_CS"	Ribosomal protein	0.683120148	1.25781	-0.467503475	-1.258793624	0.053658262	0.916815469	0.949518604	"4Q; 33F; 34D; 35L; 36R; 37F; 46K"	No	50S ribosomal protein L29	COG0255	1VEME	RBP	RBP	RBP	no_RBP	no_RBP	RBP
SPY_RS00385	SPy_0060	rpsQ	Q9A1W5	WP_000440811.1	Ribosomal_S17	Ribosomal_S17	"NA-bd_OB-fold;Ribosomal_S17;Ribosomal_S17_bac-type;Ribosomal_S17_CS"	Ribosomal protein	2.678846725	2.65991062	2.626556378	2.157084734	2.530599614	0.000024	0.000326569	"27E; 35Y; 37K; 45Y; 62I"	No	30S ribosomal protein S17	COG0186	1V9YC	no_RBP	no_RBP	RBP	no_RBP	no_RBP	RBP
SPY_RS00390	SPy_0061	rplN	Q9A1W4	WP_000615920.1	Ribosomal_L14	Ribosomal_L14	"Ribosomal_L14_bac-type;Ribosomal_L14_CS;Ribosomal_L14_dom;Ribosomal_L14b/L23e"	Ribosomal protein	1.322533461	1.56876386	1.55772409	1.362131858	1.452788317	0.000048	0.000475702	"13N; 16A; 26G; 27G; 28S; 30R; 31K; 32F; 33A; 34N; 36G; 42S; 74G; 88R; 98I; 99F"	No	50S ribosomal protein L14	COG0093	1V3N0	RBP	RBP	RBP	RBP	no_RBP	RBP
SPY_RS00395	SPy_0062	rplX	Q9A1W3	WP_010921786.1	KOW	KOW,ribosomal_L24	"KOW;Rib_L2_dom2;Ribosomal_L24;Ribosomal_L24/26_CS;Translation_prot_SH3-like"	Ribosomal protein	1.4822804	1.805205717	1.593121354	1.457281463	1.584472234	0.0000505	0.000494618	"16D; 25K; 30V; 32K; 43K; 44H; 46K; 47P; 57V; 58E; 59K; 60E; 62P; 63I; 64H; 70V; 78G"	No	50S ribosomal protein L24	COG0198	1V9ZQ	RBP	no_RBP	no_RBP	no_RBP	RBP	RBP
SPY_RS00400	SPy_0063	rplE	Q9A1W2	WP_002986634.1	"Ribosomal_L5;Ribosomal_L5_C"	Ribosomal_L5,Ribosomal_L5_C	"Ribosomal_L5;Ribosomal_L5_bac-type;Ribosomal_L5_CS;Ribosomal_L5_domain"	Ribosomal protein	1.185402455	1.753677351	1.566781726	1.449495941	1.488839368	0.000184306	0.001007697	"9Y; 24T; 32V; 34K; 42G; 45V; 52E; 53K; 60L; 63G; 65K; 116H; 119P; 125G; 139F; 140P; 142I; 143S; 144F; 150V; 152G; 155I; 171L"	No	50S ribosomal protein L5	COG0094	1TPE0	RBP	RBP	RBP	RBP	no_RBP	RBP
SPY_RS00405	SPy_0064	rpsN	P66421	WP_002987746.1	Ribosomal_S14	Ribosomal_S14	"Ribosomal_S14;Ribosomal_S14_CS;Ribosomal_S14_Z"	Ribosomal protein	-	-	-	-	-	-	-	"16H; 44F; 48A; 49Y"	No	type Z 30S ribosomal protein S14	COG0199	1VZ7X	RBP	RBP	no_RBP	RBP	no_RBP	no_homolog
SPY_RS00410	SPy_0065	rpsH	P66634	WP_002987748.1	Ribosomal_S8	Ribosomal_S8	Ribosomal_S8	Ribosomal protein	1.203729331	1.344059579	1.367606987	1.151842809	1.266809677	0.0000621	0.00056211	"2V; 40L; 45F; 46V; 54D; 56K"	No	30S ribosomal protein S8	COG0096	1V3KK	RBP	RBP	RBP	RBP	RBP	no_RBP
SPY_RS00415	SPy_0066	rplF	Q9A1V9	WP_002986629.1	Ribosomal_L6	Ribosomal_L6	"Ribosomal_L6;Ribosomal_L6_a/b-dom;Ribosomal_L6_bac-type;Ribosomal_L6_CS"	Ribosomal protein	4.374022531	5.228544643	4.271048893	4.452211793	4.581456965	0.0000139	0.000258379	"4I; 7K; 54R; 89M; 147Y; 157Y; 164Y; 168Y; 170R"	No	50S ribosomal protein L6	COG0097	1V1FC	RBP	RBP	RBP	RBP	no_RBP	RBP
SPY_RS00420	SPy_0067	rplR	Q9A1V8	WP_002987751.1	Ribosomal_L18p	Ribosomal_L18p	"Ribosomal_L18/L5;Ribosomal_L18_bac-type"	Ribosomal protein	1.364772248	3.463935333	2.856141911	3.146505712	2.707838801	0.002105148	0.006638708	"20G; 66G; 68K; 76G; 82R; 85A; 93F; 94D; 95R; 96G; 104V"	No	50S ribosomal protein L18	COG0256	1V6DM	RBP	RBP	RBP	no_RBP	no_RBP	RBP
SPY_RS00425	SPy_0069	rpsE	P66583	WP_002986625.1	"Ribosomal_S5;Ribosomal_S5_C"	Ribosomal_S5,Ribosomal_S5_C	"dsRNA-bd_dom;Ribosomal_S5;Ribosomal_S5_bac-type;Ribosomal_S5_C;Ribosomal_S5_D2-typ_fold;Ribosomal_S5_D2-typ_fold_subgr;Ribosomal_S5_N;Ribosomal_S5_N_CS"	Ribosomal protein	2.765914313	3.171140447	3.160200056	2.605018581	2.925568349	0.0000199	0.000294058	"2A; 3F; 4K; 12E; 17I; 19R; 30L; 32F; 35L; 48G; 54E; 57E; 60R; 74P; 76V; 77G; 81P; 83E; 84V; 85Y; 86T; 87N; 93V; 95L; 96K; 97P; 105A; 107G; 126S; 128G"	No	30S ribosomal protein S5	COG0098	1V1B1	RBP	RBP	RBP	RBP	no_RBP	RBP
SPY_RS00430	SPy_0071	rpmD	Q9A1V6	WP_002986624.1	Ribosomal_L30	Ribosomal_L30	"Ribosomal_L30_bac-type;Ribosomal_L30_CS;Ribosomal_L30_ferredoxin-like"	Ribosomal protein	-0.264796504	0.321798443	0.377805863	0.468197614	0.225751354	0.215427701	0.295905586	"22T; 26L; 30K; 45G; 47V; 48T; 49A; 50I; 51S; 52H"	No	50S ribosomal protein L30	COG1841	1VEG4	RBP	no_RBP	no_RBP	no_RBP	no_RBP	no_RBP
SPY_RS00435	SPy_0072	rplO	Q9A1V5	WP_002986622.1	Ribosomal_L18e	Ribosomal_L27A	"Ribosomal_L15;Ribosomal_L15_bac-type;Ribosomal_L15_CS;Ribosomal_L18e/L15P"	Ribosomal protein	1.888250347	2.251122006	1.727129021	1.734199144	1.900175129	0.0000743	0.000601906	"4H; 5E; 6L; 44G; 47R; 48L; 50F; 51E; 52G; 53G; 54Q; 55T; 56P; 57L; 58F; 59R; 65G; 76L; 103R; 110K; 130K; 131S"	No	50S ribosomal protein L15	COG0200	1V3KE	RBP	RBP	RBP	RBP	RBP	RBP
SPY_RS00440	SPy_0073	secY	Q9A1V4	WP_002986618.1	SecY	SecY	"SecY;SecY/SEC61-alpha;SecY_CS;SecY_su_dom"	-	0.315007949	1.472345456	0.69719843	0.925881978	0.852608453	0.015226971	0.031657061	-	No	preprotein translocase subunit SecY	COG0201	1TPHB	RBP	no_RBP	RBP	RBP	no_RBP	no_RBP
